delta,gamma,T_over_Delta0,cutoff,free_error,amplitude_error,gamma_error
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,2.560000000000000000e+02,4.831304395547242336e-06,1.932512273647061336e-05,6.216901964252175006e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,5.120000000000000000e+02,1.207837543426570903e-06,4.831342856638921445e-06,3.108483982062093531e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,1.024000000000000000e+03,3.019593847186641256e-07,1.207835720963979908e-06,1.554246116167501413e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,2.048000000000000000e+03,7.548912972499266516e-08,3.019550487111453789e-07,7.771235737634718532e-04
1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,2.560000000000000000e+02,7.730150741735997144e-07,3.092057832977668230e-06,2.486787697524528440e-03
1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,5.120000000000000000e+02,1.932544958505033605e-07,7.730177996392861850e-07,1.243396956868370040e-03
1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,1.024000000000000000e+03,4.831362288015839113e-08,1.932544503105426692e-07,6.216988669536238632e-04
1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,2.048000000000000000e+03,1.207835909067256353e-08,4.831340403438355580e-08,3.108494820447393892e-04
1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,2.560000000000000000e+02,1.932539940296962300e-07,7.730158326224589871e-07,1.243395771080457735e-03
1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,5.120000000000000000e+02,4.831363942248145804e-08,1.932545565241916563e-07,6.216987187266376225e-04
1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,1.024000000000000000e+03,1.207840794048564703e-08,4.831363992208181912e-08,3.108494635137848405e-04
1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,2.048000000000000000e+03,3.019591243713648510e-09,1.207837346806073242e-08,1.554247447774770308e-04
6.999999999999999556e-01,2.000000000000000111e-01,1.000000000000000056e-01,2.560000000000000000e+02,6.100419423785141682e-04,1.746280290601587293e-03,3.042518992728782123e-03
6.999999999999999556e-01,2.000000000000000111e-01,1.000000000000000056e-01,5.120000000000000000e+02,3.048272780561966933e-04,8.717622851034945164e-04,1.522213300960140181e-03
6.999999999999999556e-01,2.000000000000000111e-01,1.000000000000000056e-01,1.024000000000000000e+03,1.523650138771093232e-04,4.355355840361396780e-04,7.613442479974530386e-04
6.999999999999999556e-01,2.000000000000000111e-01,1.000000000000000056e-01,2.048000000000000000e+03,7.617032541712420723e-05,2.176812657057047851e-04,3.807314166751618600e-04
