eta,uniform_nodes,uniform_integral,adaptive_integral,finite_eta_exact,uniform_error,adaptive_error,eta_bias
1.000000000000000021e-02,2.010000000000000000e+02,1.702021570287064467e+00,1.560796660108231260e+00,1.560796660108231260e+00,1.412249101788332073e-01,0.000000000000000000e+00,9.999666686665298343e-03
1.000000000000000021e-02,8.010000000000000000e+02,1.560140911865318891e+00,1.560796660108231260e+00,1.560796660108231260e+00,6.557482429123684398e-04,0.000000000000000000e+00,9.999666686665298343e-03
1.000000000000000021e-02,3.201000000000000000e+03,1.560129995639579992e+00,1.560796660108231260e+00,1.560796660108231260e+00,6.666644686512679385e-04,0.000000000000000000e+00,9.999666686665298343e-03
3.000000000000000062e-03,2.010000000000000000e+02,3.573295985257254781e+00,1.567796335794837681e+00,1.567796335794847895e+00,2.005499649462406886e+00,1.021405182655144017e-14,2.999991000048662926e-03
3.000000000000000062e-03,8.010000000000000000e+02,1.641732082252423286e+00,1.567796335794837681e+00,1.567796335794847895e+00,7.393574645757539088e-02,1.021405182655144017e-14,2.999991000048662926e-03
3.000000000000000062e-03,3.201000000000000000e+03,1.567597222582117533e+00,1.567796335794837681e+00,1.567796335794847895e+00,1.991132127303618660e-04,1.021405182655144017e-14,2.999991000048662926e-03
1.000000000000000021e-03,2.010000000000000000e+02,1.008104499611784099e+01,1.569796327128197611e+00,1.569796327128229585e+00,8.511248668989612298e+00,3.197442310920450836e-14,9.999996666669730416e-04
1.000000000000000021e-03,8.010000000000000000e+02,2.819574747345956478e+00,1.569796327128197611e+00,1.569796327128229585e+00,1.249778420217726893e+00,3.197442310920450836e-14,9.999996666669730416e-04
1.000000000000000021e-03,3.201000000000000000e+03,1.590479114755979362e+00,1.569796327128197611e+00,1.569796327128229585e+00,2.068278762774977686e-02,3.197442310920450836e-14,9.999996666669730416e-04
2.999999999999999737e-04,2.010000000000000000e+02,3.335768367198791395e+01,1.570496326803796583e+00,1.570496326803896503e+00,3.178718734518401590e+01,9.992007221626408864e-14,2.999999910000550329e-04
2.999999999999999737e-04,8.010000000000000000e+02,8.431476382552077098e+00,1.570496326803796583e+00,1.570496326803896503e+00,6.860980055748180817e+00,9.992007221626408864e-14,2.999999910000550329e-04
2.999999999999999737e-04,3.201000000000000000e+03,2.463601993748557817e+00,1.570496326803796583e+00,1.570496326803896503e+00,8.931056669446613139e-01,9.992007221626408864e-14,2.999999910000550329e-04
