delta,gamma,T_over_Delta0,eta,count_order,free_difference,amplitude_difference,gamma_difference
1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000021e-03,6.400000000000000000e+01,-3.820515105024124836e-05,1.073876402789900042e-04,2.344501266713372445e-04
1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000021e-03,1.280000000000000000e+02,-1.567614865980448968e-04,2.965627313030808065e-04,-2.660030523622403109e-04
1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000021e-03,2.560000000000000000e+02,-2.458097931183900187e-04,2.374158468838594160e-04,-2.027901825323308316e-04
1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000048e-04,6.400000000000000000e+01,-3.732835944791901284e-07,1.092005013157704152e-06,5.778028303466742344e-03
1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000048e-04,1.280000000000000000e+02,-1.490146559479654798e-06,4.334428827308667298e-06,-1.784196974259355528e-04
1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000048e-04,2.560000000000000000e+02,-6.208948266417380069e-06,1.650853468788959777e-05,-1.413202351008280289e-05
6.999999999999999556e-01,2.000000000000000111e-01,2.500000000000000000e-01,1.000000000000000021e-03,6.400000000000000000e+01,-1.947434985193896573e-04,2.919421901549264231e-04,-4.223154917257776475e-04
6.999999999999999556e-01,2.000000000000000111e-01,2.500000000000000000e-01,1.000000000000000021e-03,1.280000000000000000e+02,-2.611894349808241422e-04,1.175585542117670024e-04,1.412132888271022679e-04
6.999999999999999556e-01,2.000000000000000111e-01,2.500000000000000000e-01,1.000000000000000021e-03,2.560000000000000000e+02,-3.261422598628826997e-04,6.075728375750169552e-05,8.297029067805272717e-05
6.999999999999999556e-01,2.000000000000000111e-01,2.500000000000000000e-01,1.000000000000000048e-04,6.400000000000000000e+01,-1.781262897587732041e-05,2.588385801112827456e-05,-3.529779289712653423e-05
6.999999999999999556e-01,2.000000000000000111e-01,2.500000000000000000e-01,1.000000000000000048e-04,1.280000000000000000e+02,-1.940171078329555598e-05,2.940177944079150341e-05,-4.306700904010973829e-05
6.999999999999999556e-01,2.000000000000000111e-01,2.500000000000000000e-01,1.000000000000000048e-04,2.560000000000000000e+02,-1.966171250827875028e-05,2.983705805361183683e-05,-4.383952273434577052e-05
3.499999999999999778e-01,6.500000000000000222e-01,2.500000000000000000e-01,1.000000000000000021e-03,6.400000000000000000e+01,-4.369028546263864499e-05,-2.602804630224553328e-04,1.440712183435333138e-04
3.499999999999999778e-01,6.500000000000000222e-01,2.500000000000000000e-01,1.000000000000000021e-03,1.280000000000000000e+02,-4.369028547146491803e-05,-2.602804657488300144e-04,1.440712204162641896e-04
3.499999999999999778e-01,6.500000000000000222e-01,2.500000000000000000e-01,1.000000000000000021e-03,2.560000000000000000e+02,-4.369028549355835622e-05,-2.602804657486079698e-04,1.440712204165417454e-04
3.499999999999999778e-01,6.500000000000000222e-01,2.500000000000000000e-01,1.000000000000000048e-04,6.400000000000000000e+01,-4.376455506494014713e-06,-2.607883487792950206e-05,1.444240174544586530e-05
3.499999999999999778e-01,6.500000000000000222e-01,2.500000000000000000e-01,1.000000000000000048e-04,1.280000000000000000e+02,-4.376455522314692814e-06,-2.607883777794306468e-05,1.444240395220841577e-05
3.499999999999999778e-01,6.500000000000000222e-01,2.500000000000000000e-01,1.000000000000000048e-04,2.560000000000000000e+02,-4.376455541077461930e-06,-2.607883778099617800e-05,1.444240395309659419e-05
