delta,gamma,T_over_Delta0,eta,reconstructed_vacuum,exact_vacuum,error
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000021e-03,-4.999656911038071749e-01,-5.000000000000000000e-01,3.430889619282506686e-05
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000048e-04,-4.999965690756641989e-01,-5.000000000000000000e-01,3.430924335801055491e-06
1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000021e-03,-4.997561564475191398e-01,-5.000000000000000000e-01,2.438435524808602040e-04
1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000048e-04,-4.999756068676714515e-01,-5.000000000000000000e-01,2.439313232854845026e-05
1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000021e-03,-4.992754506402964920e-01,-5.000000000000000000e-01,7.245493597035079780e-04
1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000048e-04,-4.999275024539986956e-01,-5.000000000000000000e-01,7.249754600130442483e-05
6.999999999999999556e-01,2.000000000000000111e-01,1.000000000000000056e-01,1.000000000000000021e-03,-2.131171094248701103e-01,-2.131925701120266359e-01,7.546068715652554104e-05
6.999999999999999556e-01,2.000000000000000111e-01,1.000000000000000056e-01,1.000000000000000048e-04,-2.131850182402298677e-01,-2.131925701120266359e-01,7.551871796768194756e-06
6.999999999999999556e-01,2.000000000000000111e-01,2.500000000000000000e-01,1.000000000000000021e-03,-2.128639483815349953e-01,-2.131925701120266359e-01,3.286217304916405624e-04
6.999999999999999556e-01,2.000000000000000111e-01,2.500000000000000000e-01,1.000000000000000048e-04,-2.131596687669323198e-01,-2.131925701120266359e-01,3.290134509431608123e-05
6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000000e-01,1.000000000000000021e-03,-2.125766001174115294e-01,-2.131925701120266359e-01,6.159699946151064864e-04
6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000000e-01,1.000000000000000048e-04,-2.131309055889800685e-01,-2.131925701120266359e-01,6.166452304656733219e-05
3.499999999999999778e-01,6.500000000000000222e-01,1.000000000000000056e-01,1.000000000000000021e-03,3.365560332625972678e-02,3.364219971336750159e-02,1.340361289222519181e-05
3.499999999999999778e-01,6.500000000000000222e-01,1.000000000000000056e-01,1.000000000000000048e-04,3.364354321411630599e-02,3.364219971336750159e-02,1.343500748804404843e-06
3.499999999999999778e-01,6.500000000000000222e-01,2.500000000000000000e-01,1.000000000000000021e-03,3.368588999885419044e-02,3.364219971336750159e-02,4.369028548668885126e-05
3.499999999999999778e-01,6.500000000000000222e-01,2.500000000000000000e-01,1.000000000000000048e-04,3.364657616890120995e-02,3.364219971336750159e-02,4.376455533708356604e-06
3.499999999999999778e-01,6.500000000000000222e-01,5.000000000000000000e-01,1.000000000000000021e-03,3.372266807717816395e-02,3.364219971336750159e-02,8.046836381066235777e-05
3.499999999999999778e-01,6.500000000000000222e-01,5.000000000000000000e-01,1.000000000000000048e-04,3.365025725714798632e-02,3.364219971336750159e-02,8.057543780484732743e-06
