frequency_THz_declared,omega_J_legacy,phdos_returned_in_legacy_states_per_THz
0.000000000000000000e+00,0.000000000000000000e+00,1.546209999999999982e-13
5.000000000000000104e-03,3.313035074999999614e-24,7.140134626233728364e-09
1.000000000000000021e-02,6.626070149999999228e-24,2.848188537207654285e-08
1.499999999999999944e-02,9.939105224999999576e-24,6.402530705606052605e-08
2.000000000000000042e-02,1.325214029999999846e-23,1.137706430167597335e-07
2.500000000000000139e-02,1.656517537499999880e-23,1.777178083938266142e-07
2.999999999999999889e-02,1.987821044999999915e-23,2.558668289192012749e-07
3.500000000000000333e-02,2.319124552499999950e-23,3.482176101933753353e-07
4.000000000000000083e-02,2.650428059999999691e-23,4.547703213304548050e-07
4.499999999999999833e-02,2.981731567499999432e-23,5.755247544744706351e-07
5.000000000000000278e-02,3.313035074999999761e-23,7.104796646307271415e-07
5.500000000000000028e-02,3.644338582499999502e-23,8.596373787361229344e-07
5.999999999999999778e-02,3.975642089999999831e-23,1.022996375640823485e-06
6.500000000000000222e-02,4.306945597499999572e-23,1.200558086983042712e-06
7.000000000000000666e-02,4.638249104999999900e-23,1.392321636294493366e-06
7.499999999999999722e-02,4.969552612499999641e-23,1.598286536476759781e-06
8.000000000000000167e-02,5.300856119999999382e-23,1.818453038970065479e-06
8.500000000000000611e-02,5.632159627500000299e-23,2.052820688952602199e-06
8.999999999999999667e-02,5.963463134999998864e-23,2.301391403833764544e-06
9.500000000000000111e-02,6.294766642499999781e-23,2.564164032086866108e-06
1.000000000000000056e-01,6.626070149999999522e-23,2.841138595284872560e-06
1.049999999999999961e-01,6.957373657499999263e-23,3.132397849298352529e-06
1.100000000000000006e-01,7.288677164999999004e-23,3.437854749999999697e-06
1.150000000000000050e-01,7.619980672499999920e-23,3.757511087248322645e-06
1.199999999999999956e-01,7.951284179999999661e-23,4.091371848329049286e-06
1.250000000000000000e-01,8.282587687499999402e-23,4.439431093959730929e-06
1.300000000000000044e-01,8.613891194999999143e-23,4.801696224014336857e-06
1.350000000000000089e-01,8.945194702500000060e-23,5.178159467968274980e-06
1.400000000000000133e-01,9.276498209999999801e-23,5.568828493810180096e-06
1.449999999999999900e-01,9.607801717499998366e-23,5.973694810860279374e-06
1.499999999999999944e-01,9.939105224999999283e-23,6.392768915178573197e-06
1.549999999999999989e-01,1.027040873249999902e-22,6.826038320927393124e-06
1.600000000000000033e-01,1.060171223999999876e-22,7.273516469483568814e-06
1.650000000000000078e-01,1.093301574750000086e-22,7.735189348993291793e-06
1.700000000000000122e-01,1.126431925500000060e-22,8.211004038897895015e-06
1.750000000000000167e-01,1.159562276250000034e-22,8.701073165853658828e-06
1.799999999999999933e-01,1.192692626999999773e-22,9.205352399857446164e-06
1.849999999999999978e-01,1.225822977749999982e-22,9.723824652439025683e-06
1.900000000000000022e-01,1.258953328499999956e-22,1.025650326972010577e-05
1.950000000000000067e-01,1.292083679249999930e-22,1.080338234146341255e-05
2.000000000000000111e-01,1.325214029999999904e-22,1.136446404549950561e-05
2.050000000000000155e-01,1.358344380750000114e-22,1.193982527760829980e-05
2.099999999999999922e-01,1.391474731499999853e-22,1.252938990744168932e-05
2.149999999999999967e-01,1.424605082249999827e-22,1.313316239780353925e-05
2.200000000000000011e-01,1.457735432999999801e-22,1.375113427693008090e-05
2.250000000000000056e-01,1.490865783750000010e-22,1.438331263575351054e-05
2.300000000000000100e-01,1.523996134499999984e-22,1.502968346489064796e-05
2.350000000000000144e-01,1.557126485249999958e-22,1.569025949969493980e-05
2.399999999999999911e-01,1.590256835999999932e-22,1.636503699137820196e-05
2.449999999999999956e-01,1.623387186749999906e-22,1.705402246491763131e-05
2.500000000000000000e-01,1.656517537499999880e-22,1.775719604164464834e-05
2.550000000000000044e-01,1.689647888249999855e-22,1.847458756558876985e-05
2.600000000000000089e-01,1.722778238999999829e-22,1.920616776163572815e-05
2.650000000000000133e-01,1.755908589750000038e-22,1.995196127516779211e-05
2.700000000000000178e-01,1.789038940500000012e-22,2.071194469667471023e-05
2.750000000000000222e-01,1.822169291249999986e-22,2.148613810250152856e-05
2.800000000000000266e-01,1.855299641999999960e-22,2.227453462666024436e-05
2.850000000000000311e-01,1.888429992750000169e-22,2.307712804759000364e-05
2.899999999999999800e-01,1.921560343499999673e-22,2.389392869366869932e-05
2.949999999999999845e-01,1.954690694249999647e-22,2.472493062233068476e-05
2.999999999999999889e-01,1.987821044999999857e-22,2.557013188034188347e-05
3.049999999999999933e-01,2.020951395749999831e-22,2.642961570469798096e-05
3.099999999999999978e-01,2.054081746499999805e-22,2.730328719402055145e-05
3.150000000000000022e-01,2.087212097249999779e-22,2.819117960951800174e-05
3.200000000000000067e-01,2.120342447999999753e-22,2.909325834523566041e-05
3.250000000000000111e-01,2.153472798749999727e-22,3.000954611958510802e-05
3.300000000000000155e-01,2.186603149500000171e-22,3.094003648915188141e-05
3.350000000000000200e-01,2.219733500250000145e-22,3.188472926174497395e-05
3.400000000000000244e-01,2.252863851000000120e-22,3.284361591715978019e-05
3.450000000000000289e-01,2.285994201750000094e-22,3.381671849298352965e-05
3.500000000000000333e-01,2.319124552500000068e-22,3.480400965800822647e-05
3.549999999999999822e-01,2.352254903249999572e-22,3.580550987187307538e-05
3.599999999999999867e-01,2.385385253999999546e-22,3.682120915616155936e-05
3.649999999999999911e-01,2.418515604749999990e-22,3.785111985356926282e-05
3.699999999999999956e-01,2.451645955499999964e-22,3.889522111527226385e-05
3.750000000000000000e-01,2.484776306249999938e-22,3.995352295302013665e-05
3.800000000000000044e-01,2.517906656999999912e-22,4.102603724619374238e-05
3.850000000000000089e-01,2.551037007749999886e-22,4.211274768761440369e-05
3.900000000000000133e-01,2.584167358499999861e-22,4.321365469798658715e-05
3.950000000000000178e-01,2.617297709249999835e-22,4.432876850518607646e-05
4.000000000000000222e-01,2.650428059999999809e-22,4.545809286558345243e-05
4.050000000000000266e-01,2.683558410749999783e-22,4.660166887195121713e-05
4.100000000000000311e-01,2.716688761500000227e-22,4.775945619457137116e-05
4.150000000000000355e-01,2.749819112250000201e-22,4.893144462804879856e-05
4.199999999999999845e-01,2.782949462999999705e-22,5.011762828867122652e-05
4.249999999999999889e-01,2.816079813749999679e-22,5.131801490243901616e-05
4.299999999999999933e-01,2.849210164499999653e-22,5.253261302915081645e-05
4.349999999999999978e-01,2.882340515249999627e-22,5.376140214024390451e-05
4.400000000000000022e-01,2.915470865999999601e-22,5.500439374815150576e-05
4.450000000000000067e-01,2.948601216750000046e-22,5.626158841463415141e-05
4.500000000000000111e-01,2.981731567500000020e-22,5.753298537639539231e-05
4.550000000000000155e-01,3.014861918249999994e-22,5.881858317073172142e-05
