t_s,Ib_A,Is_A,vc_V,Vload_V,Vnode_V,Vdev_V,Ucircuit_J,Vload_simple_V
0.000000000000000000e+00,2.000000000000000164e-05,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
5.000000000000000505e-12,2.000000000000000164e-05,2.000000000000000164e-05,-1.084202172485504457e-22,0.000000000000000000e+00,-1.084202172485504457e-22,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
1.000000000000000101e-11,2.000000000000000164e-05,2.000000000000000164e-05,-2.168404344971008913e-22,0.000000000000000000e+00,-2.168404344971008913e-22,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
1.499999999999999990e-11,2.000000000000000164e-05,2.000000000000000164e-05,-3.252606517456513370e-22,0.000000000000000000e+00,-3.252606517456513370e-22,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
2.000000000000000202e-11,2.000000000000000164e-05,2.000000000000000164e-05,-4.336808689942017826e-22,0.000000000000000000e+00,-4.336808689942017826e-22,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
2.500000000000000414e-11,2.000000000000000164e-05,2.000000000000000164e-05,-5.421010862427522283e-22,0.000000000000000000e+00,-5.421010862427522283e-22,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
2.999999999999999980e-11,2.000000000000000164e-05,2.000000000000000164e-05,-6.505213034913026739e-22,0.000000000000000000e+00,-6.505213034913026739e-22,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
3.500000000000000192e-11,2.000000000000000164e-05,2.000000000000000164e-05,-7.589415207398531196e-22,0.000000000000000000e+00,-7.589415207398531196e-22,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
4.000000000000000404e-11,2.000000000000000164e-05,2.000000000000000164e-05,-8.673617379884035653e-22,0.000000000000000000e+00,-8.673617379884035653e-22,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
4.500000000000000616e-11,2.000000000000000164e-05,2.000000000000000164e-05,-9.757819552369541050e-22,0.000000000000000000e+00,-9.757819552369541050e-22,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
5.000000000000000828e-11,2.000000000000000164e-05,2.000000000000000164e-05,-1.084202172485504457e-21,0.000000000000000000e+00,-1.084202172485504457e-21,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
5.500000000000000394e-11,2.000000000000000164e-05,2.000000000000000164e-05,-1.192622389734054808e-21,0.000000000000000000e+00,-1.192622389734054808e-21,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
5.999999999999999960e-11,2.000000000000000164e-05,2.000000000000000164e-05,-1.301042606982605348e-21,0.000000000000000000e+00,-1.301042606982605348e-21,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
6.500000000000000818e-11,2.000000000000000164e-05,2.000000000000000164e-05,-1.409462824231155888e-21,0.000000000000000000e+00,-1.409462824231155888e-21,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
7.000000000000000384e-11,2.000000000000000164e-05,2.000000000000000164e-05,-1.517883041479706239e-21,0.000000000000000000e+00,-1.517883041479706239e-21,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
7.500000000000001243e-11,2.000000000000000164e-05,2.000000000000000164e-05,-1.626303258728256591e-21,0.000000000000000000e+00,-1.626303258728256591e-21,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
8.000000000000000808e-11,2.000000000000000164e-05,2.000000000000000164e-05,-1.734723475976807131e-21,0.000000000000000000e+00,-1.734723475976807131e-21,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
8.500000000000000374e-11,2.000000000000000164e-05,2.000000000000000164e-05,-1.843143693225357670e-21,0.000000000000000000e+00,-1.843143693225357670e-21,0.000000000000000000e+00,2.020000000000000283e-16,0.000000000000000000e+00
