comparison,family,cell,time,absolute,reference_norm,relative_percent,original_norm_score,comparison_defined,roundoff_limited,undefined_checkpoints,final_relative_percent,initial_relative_percent
one_time_160_vs_1280,amplitudes,all,0.35000000000000003,2.121089626161421e-08,0.6723408185421222,3.1547833593692993e-06,3.154783359369299e-08,True,False,0,1.8314904335401399e-06,0.0
one_time_160_vs_1280,amplitudes,0,0.35000000000000003,2.121089626161421e-08,0.6723408185421222,3.1547833593692993e-06,3.154783359369299e-08,True,False,0,1.8314904335401399e-06,0.0
one_time_160_vs_1280,excitation_energy,all,0.6125,8.294747599890684e-08,0.5079658355110961,1.632934150294738e-05,1.632934150294738e-07,True,False,0,8.034940861566058e-06,0.0
one_time_160_vs_1280,excitation_energy,0,0.6125,8.294747599890684e-08,0.5079658355110961,1.632934150294738e-05,1.632934150294738e-07,True,False,0,8.034940861566058e-06,0.0
one_time_160_vs_1280,electron_energy,all,0.6125,7.422284004077184e-08,0.08620739842109565,8.609799321192473e-05,8.609799321192474e-07,True,False,0,5.38456552474486e-05,0.0
one_time_160_vs_1280,electron_energy,0,0.6125,7.422284004077184e-08,0.08620739842109565,8.609799321192473e-05,8.609799321192474e-07,True,False,0,5.38456552474486e-05,0.0
one_time_160_vs_1280,phonon_energy,all,0.6125,2.5038696171986174e-08,0.1373134452256797,1.823470100166386e-05,1.823470100166386e-07,True,False,0,3.940455024873327e-06,0.0
one_time_160_vs_1280,phonon_energy,0,0.6125,2.5038696171986174e-08,0.1373134452256797,1.823470100166386e-05,1.823470100166386e-07,True,False,0,3.940455024873327e-06,0.0
one_time_160_vs_1280,escape,all,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_160_vs_1280,escape,0,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_160_vs_1280,input,all,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_160_vs_1280,input,0,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_160_vs_1280,electron_to_phonon,all,0.037500000000000006,4.1791515551989344e-09,0.0013769165612757019,0.0003035152363427879,3.035152363427879e-06,True,False,0,2.6794380364476564e-05,
one_time_160_vs_1280,electron_to_phonon,0,0.037500000000000006,4.1791515551989344e-09,0.0013769165612757019,0.0003035152363427879,3.035152363427879e-06,True,False,0,2.6794380364476564e-05,
one_time_160_vs_1280,condensate_heat,all,0.0125,2.3961162739279812e-09,0.001176203540158584,0.00020371612498334428,2.037161249833443e-06,True,False,0,0.00010988305949096203,
one_time_160_vs_1280,condensate_heat,0,0.0125,2.3961162739279812e-09,0.001176203540158584,0.00020371612498334428,2.037161249833443e-06,True,False,0,0.00010988305949096203,
one_time_160_vs_1280,transport,all,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_160_vs_1280,electronic_population,all,0.625,9.355238723378479e-08,0.49738840407941415,1.8808718994351144e-05,1.8808718994351144e-07,True,False,0,9.863996581885722e-06,0.0
one_time_160_vs_1280,electronic_population,0,0.625,9.355238723378479e-08,0.49738840407941415,1.8808718994351144e-05,1.8808718994351144e-07,True,False,0,9.863996581885722e-06,0.0
one_time_160_vs_1280,phonon_population,all,0.325,2.960563668343231e-06,0.05466628843012146,0.005415702718006263,5.415702718006263e-05,True,False,0,0.0035619461913250607,0.0
one_time_160_vs_1280,phonon_population,0,0.325,2.960563668343231e-06,0.05466628843012146,0.005415702718006263,5.415702718006263e-05,True,False,0,0.0035619461913250607,0.0
one_time_320_vs_1280,amplitudes,all,0.31875000000000003,2.4681221511002605e-09,0.6675475510877058,3.697297888485529e-07,3.697297888485529e-09,True,False,0,3.371095495404512e-07,0.0
one_time_320_vs_1280,amplitudes,0,0.31875000000000003,2.4681221511002605e-09,0.6675475510877058,3.697297888485529e-07,3.697297888485529e-09,True,False,0,3.371095495404512e-07,0.0
one_time_320_vs_1280,excitation_energy,all,0.45,1.491489920457667e-08,0.49635823077158475,3.004865897235467e-06,3.004865897235467e-08,True,False,0,9.851113341410582e-07,0.0
one_time_320_vs_1280,excitation_energy,0,0.45,1.491489920457667e-08,0.49635823077158475,3.004865897235467e-06,3.004865897235467e-08,True,False,0,9.851113341410582e-07,0.0
one_time_320_vs_1280,electron_energy,all,0.45,1.3706943746694122e-08,0.0836684615511446,1.6382449841408142e-05,1.6382449841408143e-07,True,False,0,6.993928655414286e-06,0.0
one_time_320_vs_1280,electron_energy,0,0.45,1.3706943746694122e-08,0.0836684615511446,1.6382449841408142e-05,1.6382449841408143e-07,True,False,0,6.993928655414286e-06,0.0
one_time_320_vs_1280,phonon_energy,all,0.58125,8.096846915162104e-09,0.13774666265533667,5.878071206285164e-06,5.878071206285164e-08,True,False,0,2.001287300245495e-07,0.0
one_time_320_vs_1280,phonon_energy,0,0.58125,8.096846915162104e-09,0.13774666265533667,5.878071206285164e-06,5.878071206285164e-08,True,False,0,2.001287300245495e-07,0.0
one_time_320_vs_1280,escape,all,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_320_vs_1280,escape,0,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_320_vs_1280,input,all,0.0,0.0,0.0,,0.0,True,True,0,,
one_time_320_vs_1280,input,0,0.0,0.0,0.0,,0.0,True,True,0,,
