run,cells,scenario,steps,phonon_nodes,electron_nodes,duration,runtime_seconds,stored_checkpoints,ledger_scaled,instantaneous_residual_max_recorded,minimum_electron,maximum_electron,minimum_phonon,invariants_pass,guard_extended_stages,guard_delegated_stages,limited_event_evaluations,reaction_limited_evaluations,transport_limited_evaluations,integrated_energy_weighted_flux_defect,positive_values_rounded_to_zero
guarded_special_equilibrium_two,2,equilibrium,10,1025,630,0.1,46.42088557314128,11,0.0,4.388207647638995e-20,3.4229638806098747e-44,0.4662757844824898,3.338237795365009e-15,True,0,30,0,0,0,0.0,0
guarded_special_phonon_vacuum_one,1,phonon_vacuum,40,1025,630,0.2,25.16271828627214,41,1.905070698415834e-09,2.779027008514845e-15,4.274417143756049e-44,0.47958133655133006,0.0,True,0,120,0,0,,0.0,0
guarded_special_sparse_electrons_one,1,sparse_electrons,40,1025,630,0.2,26.18565369071439,41,2.815587762938776e-10,3.903127820947816e-16,0.0,1.0,0.0014658075876113705,True,0,120,0,0,,0.0,0
one_guarded_1280,1,driven,1280,1025,630,2.0,781.3615951389074,1281,1.0459916266469804e-10,1.6028844918025698e-15,4.274417143756049e-44,0.4902562252458167,0.0004322693379554849,True,0,3840,0,0,,0.0,0
one_guarded_160,1,driven,160,1025,630,2.0,100.03605856699869,161,5.4376563585201154e-08,1.6028844918025698e-15,4.274417143756049e-44,0.4902562264847769,0.00043291637851557846,True,0,480,0,0,,0.0,0
one_guarded_320,1,driven,320,1025,630,2.0,196.88561574416235,321,6.741160463175078e-09,1.6028844918025698e-15,4.274417143756049e-44,0.49025622551035797,0.00043163595291300256,True,0,960,0,0,,0.0,0
one_guarded_640,1,driven,640,1025,630,2.0,392.33071907097474,641,8.391935479856727e-10,1.6028844918025698e-15,4.274417143756049e-44,0.49025622509435596,0.0004323888612788968,True,0,1920,0,0,,0.0,0
two_guarded_1280,2,driven,1280,1025,630,2.0,1543.1668168371543,1281,3.152733629718796e-11,1.625912945946162e-14,3.540243468083482e-44,0.4922327742325158,3.3382377953650095e-15,True,0,3840,0,0,0,0.0,0
two_guarded_160,2,driven,160,1025,630,2.0,195.88132991921157,161,1.6378739919886698e-08,1.6129892560501347e-14,3.540243468083482e-44,0.49223277300868234,3.3382377953650095e-15,True,0,480,0,0,0,0.0,0
two_guarded_320,2,driven,320,1025,630,2.0,387.2339914939366,321,2.0325197080950375e-09,1.6327217355893708e-14,3.540243468083482e-44,0.49223277285853423,3.3382377953650095e-15,True,0,960,0,0,0,0.0,0
two_guarded_640,2,driven,640,1025,630,2.0,773.5502963000908,641,2.5312030249580175e-10,1.6349768761081407e-14,3.540243468083482e-44,0.4922327727144462,3.3382377953650095e-15,True,0,1920,0,0,0,0.0,0
two_guarded_ph2049_320,2,driven,320,2049,630,2.0,385.22378197917715,321,2.0307929227136867e-09,1.6320712142858795e-14,3.540243468083482e-44,0.4922327831615961,3.3382377953650095e-15,True,0,960,0,0,0,0.0,0
two_guarded_ph2049_640,2,driven,640,2049,630,2.0,779.2167777591385,641,2.5288282579083443e-10,1.616849015784183e-14,3.540243468083482e-44,0.4922327828203664,3.3382377953650095e-15,True,0,1920,0,0,0,0.0,0
