time,cell,omega_low,omega_high,mass_l1_difference,percent_of_global_mass_l1_difference,signed_mass_difference,energy_weighted_l1_difference,reference_phonon_count
0.76875,0,0,0.005,0.0,0.0,0.0,0.0,0.0
0.76875,0,0.005,0.01,2.0717017544328767e-14,7.81234141817443e-07,-1.0332576180017339e-15,1.6528287805939588e-16,5.99005700999936e-06
0.76875,0,0.01,0.025,3.7020447626784936e-13,1.3960328782617724e-05,1.9370619234756933e-14,7.239658613848617e-15,4.181491606149995e-05
0.76875,0,0.025,0.05,2.6290729070171435e-12,9.914175686216398e-05,5.4668533407316856e-14,1.0479527872872635e-13,0.0001340992326887595
0.76875,0,0.05,0.1,2.723424571178004e-11,0.0010269973721440517,-3.6179067328102186e-13,2.2214583555286175e-12,0.0004517054786081508
0.76875,0,0.1,0.25,5.090960727170075e-10,0.019197900113792087,3.3972415389579457e-13,9.868983278628406e-11,0.0019472494399699037
0.76875,0,0.25,0.5,3.2271790918003713e-09,0.12169620858210962,1.7834199603626743e-11,1.278353212390026e-09,0.002542120744006624
0.76875,0,0.5,1,1.2707097778504152e-08,0.4791818420165204,6.305253168476788e-11,9.714066897856176e-09,0.0023572713452573984
0.76875,0,1,2,6.659704177874639e-07,25.113596911463656,1.251964608257625e-09,9.686031789963109e-07,0.010914182808592375
0.76875,0,2,4.0,1.9692999501738806e-06,74.26186482988142,-5.60012433671704e-09,7.49130463692779e-06,0.0337906950380026
0.76875,1,0,0.005,0.0,0.0,0.0,0.0,0.0
0.76875,1,0.005,0.01,1.0105984825200502e-17,3.810944488144671e-10,2.946890308880688e-18,8.068970867942788e-20,5.986878704598217e-06
0.76875,1,0.01,0.025,1.46025796178212e-16,5.5066004224012216e-09,7.16145127351718e-17,2.8335135041848446e-18,4.175924966915976e-05
0.76875,1,0.025,0.05,1.6721271017592911e-15,6.305554255372104e-08,5.028024835736902e-16,6.771613993738015e-17,0.00013369304502111923
0.76875,1,0.05,0.1,1.461324114886325e-14,5.510620862136948e-07,4.2182068792479104e-15,1.1939462506565763e-15,0.0004485370411249417
0.76875,1,0.1,0.25,2.924254090179128e-13,1.1027297388289477e-05,6.773913626627267e-14,5.716515719411382e-14,0.001898472906161238
0.76875,1,0.25,0.5,2.276809085747773e-12,8.585796620485265e-05,4.673830247293271e-13,9.108481954998067e-13,0.0022628855092815666
0.76875,1,0.5,1,9.63382510803009e-12,0.0003632894104852231,3.6212275403302208e-12,7.2165720328519e-12,0.0010183550272865637
0.76875,1,1,2,2.509126831337901e-11,0.0009461861692191256,1.3345201279471625e-11,3.8435214838319635e-11,7.735497417962924e-05
0.76875,1,2,4.0,5.076790372292955e-11,0.001914446401948948,8.889834876217657e-12,1.4070982727659504e-10,1.5851466467880674e-05
