Q,delta_usadel_kBTc,delta_allmaras_kBTc,I_usadel_uA,I_allmaras_usadel_uA,I_vodolazov_uA
0.000000000000000000e+00,1.763876942569619688e+00,1.763870426124148016e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.911949685534590576e-03,1.763849491737118358e+00,1.763834057382817067e+00,5.155688748340395700e-01,5.155643633655947466e-01,5.155686992955685888e-01
1.182389937106918115e-02,1.763767136675836511e+00,1.763724946659192439e+00,1.031063589247927181e+00,1.031038924927565548e+00,1.031073612367631176e+00
1.773584905660377173e-02,1.763629869692841190e+00,1.763543080451596357e+00,1.546409975324064101e+00,1.546333869724881405e+00,1.546450939837508143e+00
2.364779874213836230e-02,1.763437677961251726e+00,1.763288436247948177e+00,2.061533850143395075e+00,2.061359356470265247e+00,2.061636856004775531e+00
2.955974842767295288e-02,1.763190543512228592e+00,1.762960982511824204e+00,2.576361008268241104e+00,2.576025504358483431e+00,2.576567495657873685e+00
3.547169811320754346e-02,1.762888443223739943e+00,1.762560678662914215e+00,3.090817214205374697e+00,3.090242379840256959e+00,3.091178940850431101e+00
4.138364779874213750e-02,1.762531348806130493e+00,1.762087475051844043e+00,3.604828194842731648e+00,3.603919983350257095e+00,3.605407207631792232e+00
4.729559748427672461e-02,1.762119226784363946e+00,1.761541312929329806e+00,4.118319631852939366e+00,4.116968235977503277e+00,4.119188232720107479e+00
5.320754716981131172e-02,1.761652038477057980e+00,1.760922124409618705e+00,4.631217154057103436e+00,4.629296966066463348e+00,4.632457860106301339e+00
5.911949685534590576e-02,1.761129739972143282e+00,1.760229832428162444e+00,5.143446329741784950e+00,5.140815895736911223e+00,5.145151827577042702e+00
6.503144654088049981e-02,1.760552282099207000e+00,1.759464350693460855e+00,5.654932658922412259e+00,5.651434627310539582e+00,5.657205753144737947e+00
7.094339622641508691e-02,1.759919610398426260e+00,1.758625583633008915e+00,6.165601565546000806e+00,6.161062629632088949e+00,6.168555121372345518e+00
7.685534591194967402e-02,1.759231665086062657e+00,1.757713426333261664e+00,6.675378389626021480e+00,6.669609224272571524e+00,6.679135269580667611e+00
8.276729559748427500e-02,1.758488381016474644e+00,1.756727764473534181e+00,7.184188379302187677e+00,7.176983571601929235e+00,7.188881373925502416e+00
8.867924528301886211e-02,1.757689687640566101e+00,1.755668474253736511e+00,7.691956682817647994e+00,7.683094656718232329e+00,7.697728435331812946e+00
9.459119496855344922e-02,1.756835508960614245e+00,1.754535422315832704e+00,8.198608340405924011e+00,8.187851275220207725e+00,8.205611265271789634e+00
1.005031446540880363e-01,1.755925763481429369e+00,1.753328465658915203e+00,8.704068276079938826e+00,8.691162018809606593e+00,8.712464471373403185e+00
1.064150943396226234e-01,1.754960364157753805e+00,1.752047451547756651e+00,9.208261289315071707e+00,9.192935260709589329e+00,9.218222442845686260e+00
1.123270440251572244e-01,1.753939218337791095e+00,1.750692217414707264e+00,9.711112046617868643e+00,9.693079140884872658e+00,9.722819335706617494e+00
1.182389937106918115e-01,1.752862227702831177e+00,1.749262590754788516e+00,1.021254507297219760e+01,1.019150155104907718e+01,1.022618905779915188e+01
1.241509433962263986e-01,1.751729288202832802e+00,1.747758389013818636e+00,1.071248474315393828e+01,1.068811011944423051e+01,1.072826525358046723e+01
1.300628930817609996e-01,1.750540289987883469e+00,1.746179419469401806e+00,1.121085527290533257e+01,1.118281219537686866e+01,1.122898128866903633e+01
1.359748427672955728e-01,1.749295117335395666e+00,1.744525479104592769e+00,1.170758070995948863e+01,1.167551483349475383e+01,1.172827023413372416e+01
1.418867924528301738e-01,1.747993648572982783e+00,1.742796354474043019e+00,1.220258492490576074e+01,1.216612477778767243e+01,1.222606485050848590e+01
1.477987421383647748e-01,1.746635755996797990e+00,1.740991821562414277e+00,1.269579160188556877e+01,1.265454844529509870e+01,1.272229757151576734e+01
1.537106918238993480e-01,1.745221305785285226e+00,1.739111645634835890e+00,1.318712422910863502e+01,1.314069190950296218e+01,1.321690048748104651e+01
1.596226415094339490e-01,1.743750157908154685e+00,1.737155581079165900e+00,1.367650608917880284e+01,1.362446088341113004e+01,1.370980532842037647e+01
1.655345911949685500e-01,1.742222166030425345e+00,1.735123371239801982e+00,1.416386024921802012e+01,1.410576070225236478e+01,1.420094344678199860e+01
1.714465408805031232e-01,1.740637177411395120e+00,1.733014748242769576e+00,1.464910955077707655e+01,1.458449630584272150e+01,1.469024579982251666e+01
1.773584905660377242e-01,1.738995032798340779e+00,1.730829432811800794e+00,1.513217659952075245e+01,1.506057222054283784e+01,1.517764293159718214e+01
1.832704402515722975e-01,1.737295566314781547e+00,1.728567134075093437e+00,1.561298375467469590e+01,1.553389254080808257e+01,1.566306495454309911e+01
1.891823899371068984e-01,1.735538605343078356e+00,1.726227549362435054e+00,1.609145311822053870e+01,1.600436091030525887e+01,1.614644153063321497e+01
1.950943396226414994e-01,1.733723970401188419e+00,1.723810363992335670e+00,1.656750652382562805e+01,1.647188050257193126e+01,1.662770185207811124e+01
2.010062893081760726e-01,1.731851475013343800e+00,1.721315251048811446e+00,1.704106552549254516e+01,1.693635400119371326e+01,1.710677462155139494e+01
2.069182389937106736e-01,1.729920925574423451e+00,1.718741871147430711e+00,1.751205138591329913e+01,1.739768357947361821e+01,1.758358803191363151e+01
2.128301886792452469e-01,1.727932121207704785e+00,1.716089872190207588e+00,1.798038506451137764e+01,1.785577087956600906e+01,1.805806974540850263e+01
2.187421383647798478e-01,1.725884853615799130e+00,1.713358889108913319e+00,1.844598720515550028e+01,1.831051699104691721e+01,1.853014687230357183e+01
2.246540880503144488e-01,1.723778906924629428e+00,1.710548543596336790e+00,1.890877812352882970e+01,1.876182242889026597e+01,1.899974594894687030e+01
2.305660377358490221e-01,1.721614057519178509e+00,1.707658443825011974e+00,1.936867779412416013e+01,1.920958711081875947e+01,1.946679291520904087e+01
2.364779874213836230e-01,1.719390073872995917e+00,1.704688184152887809e+00,1.982560583687061495e+01,1.965371033399585343e+01,1.993121309127933216e+01
2.423899371069182240e-01,1.717106716368103747e+00,1.701637344815390085e+00,2.027948150333801891e+01,2.009409075102373166e+01,2.039293115378198351e+01
2.483018867924527973e-01,1.714763737107146024e+00,1.698505491603299555e+00,2.073022366252057580e+01,2.053062634521034013e+01,2.085187111117813785e+01
2.542138364779873982e-01,1.712360879716533502e+00,1.695292175525816125e+00,2.117775078616733353e+01,2.096321440506606137e+01,2.130795627841638762e+01
2.601257861635219992e-01,1.709897879140289678e+00,1.691996932458164071e+00,2.162198093363566187e+01,2.139175149798856523e+01,2.176110925079307634e+01
2.660377358490566002e-01,1.707374461424141510e+00,1.688619282773033747e+00,2.206283173624123251e+01,2.181613344309210945e+01,2.221125187698169157e+01
2.719496855345911457e-01,1.704790343489407833e+00,1.685158730955124140e+00,2.250022038107661615e+01,2.223625528313425903e+01,2.265830523118818363e+01
2.778616352201257467e-01,1.702145232896131954e+00,1.681614765198007122e+00,2.293406359426811036e+01,2.265201125549094741e+01,2.310218958438691672e+01
2.837735849056603477e-01,1.699438827594945023e+00,1.677986856982469854e+00,2.336427762363927485e+01,2.306329476212683005e+01,2.354282437458921251e+01
2.896855345911949486e-01,1.696670815667055576e+00,1.674274460635459594e+00,2.379077822074660631e+01,2.346999833850510342e+01,2.398012817609394887e+01
2.955974842767295496e-01,1.693840875051737305e+00,1.670477012868691213e+00,2.421348062225131414e+01,2.387201362137706084e+01,2.441401866766683781e+01
3.015094339622640951e-01,1.690948673260662893e+00,1.666593932295910241e+00,2.463229953058814559e+01,2.426923131538739398e+01,2.484441259959146464e+01
3.074213836477986961e-01,1.687993867078334764e+00,1.662624618927760034e+00,2.504714909388941635e+01,2.466154115842734740e+01,2.527122575953266903e+01
3.133333333333332971e-01,1.684976102247848440e+00,1.658568453643112894e+00,2.545794288511936188e+01,2.504883188566245877e+01,2.569437293714833004e+01
3.192452830188678981e-01,1.681895013141178952e+00,1.654424797635670075e+00,2.586459388037138041e+01,2.543099119215697712e+01,2.611376788738278876e+01
3.251572327044024990e-01,1.678750222413046833e+00,1.650192991834543710e+00,2.626701443627543142e+01,2.580790569401079182e+01,2.652932329237023268e+01
3.310691823899371000e-01,1.675541340637444199e+00,1.645872356297459538e+00,2.666511626646084920e+01,2.617946088791878978e+01,2.694095072187254303e+01
3.369811320754716455e-01,1.672267965925764877e+00,1.641462189575122466e+00,2.705881041701418255e+01,2.654554110905534969e+01,2.734856059217114321e+01
3.428930817610062465e-01,1.668929683525399055e+00,1.636961768045195109e+00,2.744800724086677945e+01,2.690602948717932819e+01,2.775206212332735589e+01
3.488050314465408475e-01,1.665526065397605837e+00,1.632370345214235519e+00,2.783261637104264352e+01,2.726080790084643724e+01,2.815136329472038312e+01
3.547169811320754484e-01,1.662056669773346540e+00,1.627687150985817288e+00,2.821254669269018578e+01,2.760975692960634476e+01,2.854637079876618344e+01
3.606289308176100494e-01,1.658521040685645209e+00,1.622911390892954664e+00,2.858770631381553073e+01,2.795275580405238358e+01,2.893698999271405725e+01
3.665408805031445949e-01,1.654918707476940254e+00,1.618042245292803605e+00,2.895800253462747875e+01,2.828968235357940486e+01,2.932312484841106581e+01
3.724528301886791959e-01,1.651249184279778293e+00,1.613078868521481635e+00,2.932334181539747320e+01,2.862041295169373356e+01,2.970467789991711527e+01
3.783647798742137969e-01,1.647511969468980819e+00,1.608020388006695445e+00,2.968362974272719157e+01,2.894482245870452530e+01,3.008155018884540866e+01
3.842767295597483979e-01,1.643706545083370107e+00,1.602865903335696229e+00,3.003877099410896179e+01,2.926278416161082063e+01,3.045364120729457369e+01
3.901886792452829988e-01,1.639832376214835907e+00,1.597614485275908214e+00,3.038866930065157135e+01,2.957416971098097846e+01,3.082084883822937371e+01
3.961006289308175443e-01,1.635888910362439219e+00,1.592265174745383538e+00,3.073322740783313733e+01,2.987884905460219898e+01,3.118306929315692244e+01
4.020125786163521453e-01,1.631875576748937018e+00,1.586816981730023501e+00,3.107234703412863297e+01,3.017669036765622792e+01,3.154019704693454784e+01
4.079245283018867463e-01,1.627791785596939711e+00,1.581268884144284570e+00,3.140592882734526015e+01,3.046755997915322212e+01,3.189212476953339603e+01
4.138364779874213473e-01,1.623636927361612470e+00,1.575619826631835085e+00,3.173387231848222001e+01,3.075132229432905362e+01,3.223874325456912970e+01
4.197484276729559483e-01,1.619410371916672586e+00,1.569868719302366156e+00,3.205607587291536476e+01,3.102783971268102192e+01,3.257994134439762490e+01
4.256603773584904937e-01,1.615111467689188895e+00,1.564014436400464447e+00,3.237243663866793497e+01,3.129697254128325312e+01,3.291560585155750829e+01
4.315723270440250947e-01,1.610739540740862674e+00,1.558055814902138403e+00,3.268285049155738164e+01,3.155857890298472768e+01,3.324562147632578046e+01
4.374842767295596957e-01,1.606293893788995009e+00,1.551991653034243912e+00,3.298721197689894780e+01,3.181251463905086752e+01,3.356987072013454565e+01
4.433962264150942967e-01,1.601773805163916098e+00,1.545820708711672653e+00,3.328541424750049060e+01,3.205863320576070663e+01,3.388823379457678442e+01
4.493081761006288977e-01,1.597178527696560879e+00,1.539541697886758875e+00,3.357734899759685021e+01,3.229678556441820092e+01,3.420058852570860353e+01
4.552201257861634986e-01,1.592507287530299687e+00,1.533153292804905421e+00,3.386290639235640043e+01,3.252682006417516902e+01,3.450681025333144447e+01
4.611320754716980441e-01,1.587759282850239817e+00,1.526654120159932404e+00,3.414197499254559176e+01,3.274858231699458599e+01,3.480677172491206051e+01
