lambda,time_zeta,r_patch,current,voltage_patch,voltage_port
0.25,0.0,0.0,1.0,0.0,0.0
0.25,0.002,0.0983660995095468,0.9996055014944548,0.09832729423029399,0.0003944985055451822
0.25,0.004,0.19352786960104845,0.9984442629179165,0.19322679111789348,0.0015557370820834526
0.25,0.006,0.2855784689151131,0.9965501424529335,0.28459326387884665,0.003449857547066504
0.25,0.008,0.37460838703125027,0.9939574729584547,0.3723448057226243,0.006042527041545287
0.25,0.01,0.46070552078405624,0.9907008782004354,0.45642136403255346,0.009299121799564602
0.25,0.012,0.5439552483979115,0.9868151023189691,0.5367832541047253,0.013184897681030927
0.25,0.014,0.6244405015025478,0.9823348525262587,0.6134096679549284,0.01766514747374126
0.25,0.016,0.7022418350900558,0.9772946549134792,0.6862971918901445,0.02270534508652078
0.25,0.018000000000000002,0.777437495472176,0.9717287231434201,0.755458344798996,0.02827127685657993
0.25,0.02,0.850103486295032,0.9656708397189946,0.8209201474585683,0.03432916028100541
0.25,0.022,0.9203136326668337,0.9591542494444132,0.8827227315940183,0.04084575055558681
0.25,0.024,0.9881396434524813,0.9522115646351434,0.9409179959699,0.04778843536485655
0.25,0.026000000000000002,1.0536511717874777,0.9448746815837753,0.9955683154430647,0.0551253184162247
0.25,0.028,1.1169158738620397,0.9371747077505981,1.046745307668661,0.06282529224940192
0.25,0.03,1.1779994660248563,0.9291418991191187,1.0945286610236427,0.07085810088088129
0.25,0.032,1.2369657802545242,0.9208056071369382,1.1390050262948836,0.07919439286306185
0.25,0.034,1.293876818045317,0.9121942346504284,1.1802669737687796,0.08780576534957163
0.25,0.036000000000000004,1.348792802752615,0.9033352002366078,1.218412016552229,0.09666479976339215
0.25,0.038,1.4017722304420202,0.8942549103366466,1.2535417002463298,0.10574508966335339
0.25,0.04,1.4528719192849349,0.8849787386017244,1.285760758478648,0.11502126139827562
0.25,0.042,1.5021470575421387,0.8755310118727623,1.3151763332715611,0.12446898812723772
0.25,0.044,1.5496512501757385,0.8659350022301423,1.341897258776871,0.1340649977698577
0.25,0.046,1.5954365641286863,0.8562129245672665,1.3660334065341737,0.1437870754327335
0.25,0.048,1.6395535723099586,0.8463859391620984,1.3876950901061376,0.15361406083790163
0.25,0.05,1.6820513963223882,0.8364741587431324,1.406992526701481,0.16352584125686764
0.25,0.052000000000000005,1.7229777479690969,0.8264966595700645,1.424035353210011,0.17350334042993554
0.25,0.054,1.762378969573428,0.8164714960743601,1.4389321939376059,0.1835285039256399
0.25,0.056,1.8003000731463086,0.8064157186305416,1.4517902772368971,0.19358428136945838
0.25,0.058,1.8367847784339761,0.7963453940550227,1.4627150981762722,0.2036546059449773
0.25,0.06,1.8718755498780741,0.7862756284553899,1.4718101243706614,0.2137243715446101
0.25,0.062,1.905613632519211,0.7762205920789379,1.4791765421077576,0.2237794079210621
0.25,0.064,1.938039086874176,0.7661935458347753,1.4849130399385149,0.23380645416522472
0.25,0.066,1.9691908228161525,0.7562068691887615,1.4891156269570438,0.24379313081123855
0.25,0.068,1.9991066324864237,0.7462720891547565,1.4918774830687735,0.2537279108452435
0.25,0.07,2.0278232222652623,0.736399910129052,1.493288838633744,0.26360008987094796
0.25,0.07200000000000001,2.055376243828882,0.726600244337297,1.4934368809711411,0.273399755662703
0.25,0.074,2.0818003243185914,0.7168822426846788,1.4924056853192036,0.2831177573153212
0.25,0.076,2.1071290956475157,0.7072543258205033,1.4902761679589505,0.2927456741794967
0.25,0.078,2.1313952229695396,0.6977242152476086,1.487126059328924,0.30227578475239136
0.25,0.08,2.1546304323344243,0.6882989643252332,1.4830298950794136,0.3117010356747668
0.25,0.082,2.176865537552351,0.678984989031019,1.4780590231369863,0.321015010968981
0.25,0.084,2.1981304662905026,0.6697880983637888,1.4722816249722241,0.33021190163621117
0.25,0.08600000000000001,2.2184542854236167,0.6607135242835943,1.4657627493842806,0.3392864757164057
0.25,0.088,2.237865225659857,0.6517659510993193,1.4585643572342895,0.34823404890068066
0.25,0.09,2.2563907054626884,0.6429495442268706,1.4507453756749824,0.35705045577312944
0.25,0.092,2.274057354288914,0.6342679782527253,1.442361760535571,0.3657320217472747
0.25,0.094,2.2908910351623875,0.6257244642483807,1.4334665656284031,0.3742755357516193
0.25,0.096,2.3069168666024105,0.6173217762910973,1.4241100178468924,0.3826782237089027
0.25,0.098,2.3221592439252574,0.6090622771552968,1.4143395970223396,0.3909377228447032
0.25,0.1,2.3366418599367367,0.6009479431471118,1.4042001196004235,0.39905205685288825
0.25,0.10200000000000001,2.3503877250332113,0.5929803880619293,1.3937338252861888,0.4070196119380707
0.25,0.10400000000000001,2.3634191867279686,0.5851608862513845,1.3829804658892646,0.4148391137486155
0.25,0.106,2.3757579486193823,0.5774903947921703,1.371977395678844,0.42250960520782965
0.25,0.108,2.3874250888168107,0.5699695747543031,1.360759662630672,0.4300304252456969
0.25,0.11,2.398441077839738,0.5625988115711481,1.34936010001606,0.4374011884288519
0.25,0.112,2.4088257960052095,0.5553782345176219,1.3378094178458786,0.4446217654823781
0.25,0.114,2.4185985503181997,0.5483077353065794,1.3261362937407482,0.4516922646934206
0.25,0.116,2.4277780908791,0.5413869858165147,1.3143674628524082,0.4586130141834853
0.25,0.11800000000000001,2.436382626822153,0.534615454966389,1.302527806510731,0.46538454503361104
0.25,0.12,2.444429841798226,0.5279924247556805,1.29064043931619,0.47200757524431947
0.25,0.122,2.451936909014949,0.521517005489675,1.2787267944390857,0.47848299451032505
0.25,0.124,2.4589205058468773,0.5151881502116007,1.2668067069246263,0.4848118497883993
0.25,0.126,2.46539682802796,0.5090046683645065,1.2548984948372781,0.49099533163549347
0.25,0.128,2.471381603438265,0.5029652387067948,1.2430190381089083,0.49703476129320523
0.25,0.13,2.4768901054965426,0.49706842150610037,1.2311838549832448,0.5029315784938997
0.25,0.132,2.4819371661699146,0.49131267003676254,1.2194071759744167,0.5086873299632375
0.25,0.134,2.4865371886116128,0.4856963414064982,1.20770201527986,0.5143036585935018
0.25,0.136,2.4907041594374157,0.48021770673807684,1.196080239608025,0.5197822932619232
0.25,0.138,2.4944516606510954,0.47487496073183283,1.1845526343991442,0.5251250392681672
0.25,0.14,2.49779288122893,0.46966623063475466,1.173128967433115,0.5303337693652453
