T_over_Tc,delta_kBTc,Q,F_extrapolation_change,X_extrapolation_change,Pi_extrapolation_change
5.000000000000000278e-02,2.500000000000000000e-01,0.000000000000000000e+00,2.775557561562891351e-17,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.500000000000000000e-01,1.499999999999999944e-01,5.551115123125782702e-17,6.661338147750939243e-16,4.163336342344337027e-17
5.000000000000000278e-02,2.500000000000000000e-01,4.500000000000000111e-01,0.000000000000000000e+00,2.220446049250313081e-16,1.665334536937734811e-16
5.000000000000000278e-02,2.500000000000000000e-01,7.500000000000000000e-01,2.775557561562891351e-17,2.192690473634684167e-15,7.216449660063517513e-16
5.000000000000000278e-02,8.000000000000000444e-01,0.000000000000000000e+00,1.221245327087672194e-15,3.510441438286982175e-16,0.000000000000000000e+00
5.000000000000000278e-02,8.000000000000000444e-01,1.499999999999999944e-01,2.220446049250313081e-16,1.625100803162074365e-15,4.940492459581946605e-15
5.000000000000000278e-02,8.000000000000000444e-01,4.500000000000000111e-01,2.553512956637860043e-15,1.831867990631508292e-14,1.979759684055300516e-15
5.000000000000000278e-02,8.000000000000000444e-01,7.500000000000000000e-01,9.964251646010779950e-15,3.697042672001771280e-14,8.931331750048250441e-14
5.000000000000000278e-02,1.500000000000000000e+00,0.000000000000000000e+00,4.496693566837173878e-16,1.565414464721470722e-14,0.000000000000000000e+00
5.000000000000000278e-02,1.500000000000000000e+00,1.499999999999999944e-01,1.056955418920510981e-14,7.743805596760466869e-14,1.977307206857403798e-13
5.000000000000000278e-02,1.500000000000000000e+00,4.500000000000000111e-01,1.206283787899399545e-13,5.028477634283490261e-13,2.104846080516134966e-13
5.000000000000000278e-02,1.500000000000000000e+00,7.500000000000000000e-01,1.110778136137469119e-13,7.559508574672690884e-13,3.348838989977129788e-13
5.000000000000000278e-02,2.000000000000000000e+00,0.000000000000000000e+00,2.012835499477258606e-14,9.825473767932635383e-14,0.000000000000000000e+00
5.000000000000000278e-02,2.000000000000000000e+00,1.499999999999999944e-01,7.434216129008236577e-14,3.425038030968607927e-13,1.093902746163166739e-12
5.000000000000000278e-02,2.000000000000000000e+00,4.500000000000000111e-01,7.150946501610633277e-13,2.196576254220872215e-12,9.956968075707685963e-13
5.000000000000000278e-02,2.000000000000000000e+00,7.500000000000000000e-01,1.213890099549530532e-12,3.154204756953987801e-12,2.715972453253398273e-13
1.499999999999999944e-01,2.500000000000000000e-01,0.000000000000000000e+00,1.387778780781445676e-17,3.330669073875469621e-16,0.000000000000000000e+00
1.499999999999999944e-01,2.500000000000000000e-01,1.499999999999999944e-01,2.775557561562891351e-17,1.110223024625156540e-16,0.000000000000000000e+00
1.499999999999999944e-01,2.500000000000000000e-01,4.500000000000000111e-01,5.551115123125782702e-17,3.330669073875469621e-16,1.387778780781445676e-16
1.499999999999999944e-01,2.500000000000000000e-01,7.500000000000000000e-01,6.245004513516505540e-17,0.000000000000000000e+00,8.326672684688674053e-17
1.499999999999999944e-01,8.000000000000000444e-01,0.000000000000000000e+00,3.330669073875469621e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,8.000000000000000444e-01,1.499999999999999944e-01,4.440892098500626162e-16,3.640120247147771365e-16,3.330669073875469621e-16
1.499999999999999944e-01,8.000000000000000444e-01,4.500000000000000111e-01,2.220446049250313081e-16,7.771561172376095783e-16,5.551115123125782702e-16
1.499999999999999944e-01,8.000000000000000444e-01,7.500000000000000000e-01,7.494005416219806648e-16,2.498001805406602216e-15,9.130130318170748960e-16
1.499999999999999944e-01,1.500000000000000000e+00,0.000000000000000000e+00,1.097984222310931512e-15,2.775557561562891351e-16,0.000000000000000000e+00
1.499999999999999944e-01,1.500000000000000000e+00,1.499999999999999944e-01,1.955241906138253956e-15,3.885780586188047891e-16,5.551115123125782702e-16
1.499999999999999944e-01,1.500000000000000000e+00,4.500000000000000111e-01,1.110223024625156540e-16,1.748601263784621551e-15,1.111315641604374144e-15
1.499999999999999944e-01,1.500000000000000000e+00,7.500000000000000000e-01,5.800915303666442924e-15,2.997602166487922659e-15,3.002157103017873266e-16
1.499999999999999944e-01,2.000000000000000000e+00,0.000000000000000000e+00,7.799539917665065336e-16,1.554312234475219157e-15,0.000000000000000000e+00
1.499999999999999944e-01,2.000000000000000000e+00,1.499999999999999944e-01,1.805334104764671888e-15,4.440892098500626162e-15,5.773159728050814010e-15
1.499999999999999944e-01,2.000000000000000000e+00,4.500000000000000111e-01,2.997602166487922659e-15,1.021405182655144017e-14,5.087751533188757622e-15
1.499999999999999944e-01,2.000000000000000000e+00,7.500000000000000000e-01,3.747002708109903324e-15,1.424975739680973795e-14,1.284602778438146818e-15
4.000000000000000222e-01,2.500000000000000000e-01,0.000000000000000000e+00,1.387778780781445676e-17,5.551115123125782702e-17,0.000000000000000000e+00
4.000000000000000222e-01,2.500000000000000000e-01,1.499999999999999944e-01,2.775557561562891351e-17,0.000000000000000000e+00,2.775557561562891351e-17
4.000000000000000222e-01,2.500000000000000000e-01,4.500000000000000111e-01,1.387778780781445676e-17,2.220446049250313081e-16,1.387778780781445676e-17
4.000000000000000222e-01,2.500000000000000000e-01,7.500000000000000000e-01,1.474514954580286030e-17,1.249000902703301108e-16,2.775557561562891351e-17
4.000000000000000222e-01,8.000000000000000444e-01,0.000000000000000000e+00,1.110223024625156540e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.000000000000000222e-01,8.000000000000000444e-01,1.499999999999999944e-01,0.000000000000000000e+00,1.110223024625156540e-16,5.551115123125782702e-17
4.000000000000000222e-01,8.000000000000000444e-01,4.500000000000000111e-01,2.220446049250313081e-16,1.110223024625156540e-16,2.220446049250313081e-16
4.000000000000000222e-01,8.000000000000000444e-01,7.500000000000000000e-01,2.567390744445674500e-16,4.388850394221321949e-16,7.771561172376095783e-16
4.000000000000000222e-01,1.500000000000000000e+00,0.000000000000000000e+00,1.107069139017070258e-15,5.551115123125782702e-16,0.000000000000000000e+00
4.000000000000000222e-01,1.500000000000000000e+00,1.499999999999999944e-01,2.220446049250313081e-16,1.498801083243961330e-15,4.440892098500626162e-16
4.000000000000000222e-01,1.500000000000000000e+00,4.500000000000000111e-01,3.330669073875469621e-16,6.938893903907228378e-18,3.564943259028419490e-16
4.000000000000000222e-01,1.500000000000000000e+00,7.500000000000000000e-01,8.604228440844963188e-16,1.110223024625156540e-16,1.497956726805962331e-15
4.000000000000000222e-01,2.000000000000000000e+00,0.000000000000000000e+00,7.771561172376095783e-16,0.000000000000000000e+00,0.000000000000000000e+00
