T_over_Tc,delta_kBTc,Q,h,force_scaled_error,current_scaled_error,mixed_scaled_error
5.000000000000000278e-02,2.500000000000000000e-01,0.000000000000000000e+00,1.000000000000000021e-02,1.732612723293058821e-07,9.251858538542971828e-16,0.000000000000000000e+00
5.000000000000000278e-02,2.500000000000000000e-01,0.000000000000000000e+00,3.000000000000000062e-03,1.402464477884279859e-09,3.083952846180990083e-15,1.233581138472396033e-14
5.000000000000000278e-02,2.500000000000000000e-01,0.000000000000000000e+00,1.000000000000000021e-03,1.728783782795062507e-11,4.625929269271485322e-15,1.850371707708594129e-14
5.000000000000000278e-02,2.500000000000000000e-01,0.000000000000000000e+00,2.999999999999999737e-04,1.619815392928103392e-13,1.541976423090495160e-14,3.083952846180990320e-14
5.000000000000000278e-02,2.500000000000000000e-01,0.000000000000000000e+00,1.000000000000000048e-04,3.623767952376510948e-13,2.312964634635742582e-14,0.000000000000000000e+00
5.000000000000000278e-02,2.500000000000000000e-01,1.499999999999999944e-01,1.000000000000000021e-02,1.459895367927899201e-07,3.249609664690567001e-09,4.759368540385722213e-07
5.000000000000000278e-02,2.500000000000000000e-01,1.499999999999999944e-01,3.000000000000000062e-03,1.184464304415655533e-09,2.648926911152926778e-11,3.820592398007249813e-09
5.000000000000000278e-02,2.500000000000000000e-01,1.499999999999999944e-01,1.000000000000000021e-03,1.460620513427102196e-11,3.273353810229195915e-13,4.712663592698618231e-11
5.000000000000000278e-02,2.500000000000000000e-01,1.499999999999999944e-01,2.999999999999999737e-04,1.910693825379894406e-13,8.139322549283178887e-14,1.233457780358548916e-13
5.000000000000000278e-02,2.500000000000000000e-01,1.499999999999999944e-01,1.000000000000000048e-04,1.019184736605893704e-13,3.734929032717104747e-13,9.368061881787070888e-13
5.000000000000000278e-02,2.500000000000000000e-01,4.500000000000000111e-01,1.000000000000000021e-02,6.599773605397984966e-08,9.625864688667107316e-09,1.640397922089080156e-07
5.000000000000000278e-02,2.500000000000000000e-01,4.500000000000000111e-01,3.000000000000000062e-03,5.352737142416685856e-10,7.766592924340898207e-11,1.334248674617275535e-09
5.000000000000000278e-02,2.500000000000000000e-01,4.500000000000000111e-01,1.000000000000000021e-03,6.601608149026105821e-12,9.402201239794294452e-13,1.644998563579483237e-11
5.000000000000000278e-02,2.500000000000000000e-01,4.500000000000000111e-01,2.999999999999999737e-04,2.664535259100375697e-15,1.491862189340054101e-13,4.310419068480436199e-14
5.000000000000000278e-02,2.500000000000000000e-01,4.500000000000000111e-01,1.000000000000000048e-04,1.798561299892753595e-13,9.370282327836321201e-14,2.421897332721116167e-13
5.000000000000000278e-02,2.500000000000000000e-01,7.500000000000000000e-01,1.000000000000000021e-02,1.640722058215970947e-09,5.223533078302367016e-09,5.297809488834661845e-08
5.000000000000000278e-02,2.500000000000000000e-01,7.500000000000000000e-01,3.000000000000000062e-03,1.328748222562126102e-11,4.225755856346324890e-11,4.284695216193862214e-10
5.000000000000000278e-02,2.500000000000000000e-01,7.500000000000000000e-01,1.000000000000000021e-03,1.961486528756495318e-13,4.985456492079265445e-13,5.227407813089151502e-12
5.000000000000000278e-02,2.500000000000000000e-01,7.500000000000000000e-01,2.999999999999999737e-04,9.836575998178886948e-14,2.495226247845039325e-14,5.358851336470099448e-13
5.000000000000000278e-02,2.500000000000000000e-01,7.500000000000000000e-01,1.000000000000000048e-04,2.063349491265853430e-13,9.424405700286797583e-13,3.621526278881196147e-12
