t_over_tau,force_low_packet,force_high_packet
0.000000000000000000e+00,7.004709073695067345e-02,2.781052877325611034e-03
3.749999999999999861e-02,7.024424658008733557e-02,5.453974411499053904e-03
7.499999999999999722e-02,7.043414598761765788e-02,8.028517512220693583e-03
1.124999999999999889e-01,7.061705603687938593e-02,1.050830305501742647e-02
1.499999999999999944e-01,7.079323397527328976e-02,1.289681864698404533e-02
1.875000000000000000e-01,7.096292758205981210e-02,1.519742353180542072e-02
2.249999999999999778e-01,7.112637551683954895e-02,1.741335331424663860e-02
2.625000000000000111e-01,7.128380765520736517e-02,1.954772451075533976e-02
2.999999999999999889e-01,7.143544541205307241e-02,2.160353893257660821e-02
3.374999999999999667e-01,7.158150205296269497e-02,2.358368790754483343e-02
3.750000000000000000e-01,7.172218299415772380e-02,2.549095634648983200e-02
4.124999999999999778e-01,7.185768609139663032e-02,2.732802665997674171e-02
4.499999999999999556e-01,7.198820191824095716e-02,2.909748253088798725e-02
4.874999999999999889e-01,7.211391403408162759e-02,3.080181254815304165e-02
5.250000000000000222e-01,7.223499924229925817e-02,3.244341370673674979e-02
5.625000000000000000e-01,7.235162783892300220e-02,3.402459477880866168e-02
5.999999999999999778e-01,7.246396385213767222e-02,3.554757956083411802e-02
6.374999999999999556e-01,7.257216527297503939e-02,3.701451000115477119e-02
6.749999999999999334e-01,7.267638427751507701e-02,3.842744921245641598e-02
7.125000000000000222e-01,7.277676744090837146e-02,3.978838437336100486e-02
7.500000000000000000e-01,7.287345594352193090e-02,4.109922952322431211e-02
7.874999999999999778e-01,7.296658576949724417e-02,4.236182825406903385e-02
8.249999999999999556e-01,7.305628789799990808e-02,4.357795630344006577e-02
8.624999999999999334e-01,7.314268848743125939e-02,4.474932405182795864e-02
8.999999999999999112e-01,7.322590905285943086e-02,4.587757892817342920e-02
9.375000000000000000e-01,7.330606663691932590e-02,4.696430772683563709e-02
9.749999999999999778e-01,7.338327397442392930e-02,4.801103883928351662e-02
1.012499999999999956e+00,7.345763965091531289e-02,4.901924440364805596e-02
1.050000000000000044e+00,7.352926825538189104e-02,4.999034237515906365e-02
1.087499999999999911e+00,7.359826052735339574e-02,5.092569852037843320e-02
1.125000000000000000e+00,7.366471349858208506e-02,5.182662833803461377e-02
1.162499999999999867e+00,7.372872062951053851e-02,5.269439890915927904e-02
1.199999999999999956e+00,7.379037194071511041e-02,5.353023067912897337e-02
1.237500000000000044e+00,7.384975413951254397e-02,5.433529917411751564e-02
1.274999999999999911e+00,7.390695074190621605e-02,5.511073665437331293e-02
1.312500000000000000e+00,7.396204219004441638e-02,5.585763370664731386e-02
1.349999999999999867e+00,7.401510596535522402e-02,5.657704077800970732e-02
1.387499999999999956e+00,7.406621669751790871e-02,5.726996965321484029e-02
1.425000000000000044e+00,7.411544626942259684e-02,5.793739487769000024e-02
1.462499999999999911e+00,7.416286391826791558e-02,5.858025512815055735e-02
1.500000000000000000e+00,7.420853633293721108e-02,5.919945453276874436e-02
1.537499999999999867e+00,7.425252774779048104e-02,5.979586394275301919e-02
1.574999999999999956e+00,7.429490003300479040e-02,6.037032215712610783e-02
1.612500000000000044e+00,7.433571278158938866e-02,6.092363710242408581e-02
1.649999999999999911e+00,7.437502339319783384e-02,6.145658696897658702e-02
1.687500000000000000e+00,7.441288715485624983e-02,6.196992130536505688e-02
1.724999999999999867e+00,7.444935731871958617e-02,6.246436207259885992e-02
1.762499999999999956e+00,7.448448517696611149e-02,6.294060465949204153e-02
1.799999999999999822e+00,7.451832013393566712e-02,6.339931886066846323e-02
1.837499999999999911e+00,7.455090977561255883e-02,6.384114981857087756e-02
1.875000000000000000e+00,7.458229993655131340e-02,6.426671893079878572e-02
1.912499999999999867e+00,7.461253476433872545e-02,6.467662472405096008e-02
1.949999999999999956e+00,7.464165678168442619e-02,6.507144369590298072e-02
1.987499999999999822e+00,7.466970694622454552e-02,6.545173112560111195e-02
2.024999999999999911e+00,7.469672470812574461e-02,6.581802185501575697e-02
2.062500000000000000e+00,7.472274806556830629e-02,6.617083104085084988e-02
2.100000000000000089e+00,7.474781361818734482e-02,6.651065487916781038e-02
2.137499999999999734e+00,7.477195661854701969e-02,6.683797130324313496e-02
2.174999999999999822e+00,7.479521102172057012e-02,6.715324065574088119e-02
2.212499999999999911e+00,7.481760953304472661e-02,6.745690633614515042e-02
2.250000000000000000e+00,7.483918365411745821e-02,6.774939542436399231e-02
2.287500000000000089e+00,7.485996372710186642e-02,6.803111928138050324e-02
2.324999999999999734e+00,7.487997897740039654e-02,6.830247412779769101e-02
