time,ue_0,ue_1,uph_0,uph_1,escape,total
0.000000000000000000e+00,2.973901998852166439e-01,2.973901998852166439e-01,5.027395777034249225e-01,2.739577703424749856e-03,0.000000000000000000e+00,1.100259555177282911e+00
1.250000000000000000e-01,3.119414138412633930e-01,2.974176622029617301e-01,4.805233421705192853e-01,2.739611237980295495e-03,7.637525724558249379e-03,1.100259555177282911e+00
2.500000000000000000e-01,3.257219745577861758e-01,2.974978357252477945e-01,4.593636589506417955e-01,2.739838822476464188e-03,1.493624712113052200e-02,1.100259555177282689e+00
3.750000000000000000e-01,3.387699001565478429e-01,2.976275312430955999e-01,4.392094136648893032e-01,2.740435541876331833e-03,2.191227457087385755e-02,1.100259555177283133e+00
5.000000000000000000e-01,3.511213336625903514e-01,2.978037269240386697e-01,4.200119953058540356e-01,2.741557186907848508e-03,2.858094209789202242e-02,1.100259555177282911e+00
6.250000000000000000e-01,3.628106372797116341e-01,2.980235596907438445e-01,4.017251712863696422e-01,2.743341698608230995e-03,3.495684522184962228e-02,1.100259555177282911e+00
7.500000000000000000e-01,3.738704815984470464e-01,2.982843170626338636e-01,3.843049691313643046e-01,2.745910515000001689e-03,4.105387686983771878e-02,1.100259555177282911e+00
8.750000000000000000e-01,3.843319305042790512e-01,2.985834293857840271e-01,3.677095638017895962e-01,2.749369839251584232e-03,4.688526164617873998e-02,1.100259555177282911e+00
1.000000000000000000e+00,3.942245214668539943e-01,2.989184624878902241e-01,3.518991710883104806e-01,2.753811818778826963e-03,5.246358831544942203e-02,1.100259555177282911e+00
1.125000000000000000e+00,4.035763414317808939e-01,2.992871107388398455e-01,3.368359467889271430e-01,2.759315639921997368e-03,5.780084057781310208e-02,1.100259555177283133e+00
1.250000000000000000e+00,4.124140989145623770e-01,2.996871904584293977e-01,3.224838908802294402e-01,2.765948553246938123e-03,6.290842637081472954e-02,1.100259555177282689e+00
1.375000000000000000e+00,4.207631928980009040e-01,3.001166336125999923e-01,3.088087558895865614e-01,2.773766844568186646e-03,6.779720593252712424e-02,1.100259555177282689e+00
1.500000000000000000e+00,4.286477784402408231e-01,3.005734818105101347e-01,2.957779595999188160e-01,2.782816747785675417e-03,7.247751857882735183e-02,1.100259555177282911e+00
1.625000000000000000e+00,4.360908270845931245e-01,3.010558807998710007e-01,2.833605046347054679e-01,2.793135246005807280e-03,7.695920741210743321e-02,1.100259555177282911e+00
1.750000000000000000e+00,4.431141861133257587e-01,3.015620750491291302e-01,2.715268995457588153e-01,2.804750870744129529e-03,8.125164359832509620e-02,1.100259555177282911e+00
1.875000000000000000e+00,4.497386341736663296e-01,3.020904026712933899e-01,2.602490846995914042e-01,2.817684430139941014e-03,8.536374920259180710e-02,1.100259555177282911e+00
2.000000000000000000e+00,4.559839340688479625e-01,3.026392906102836067e-01,2.495003619124716021e-01,2.831949686999928571e-03,8.930401889867989329e-02,1.100259555177283133e+00
2.125000000000000000e+00,4.618688826951044546e-01,3.032072500933657988e-01,2.392553278636910252e-01,2.847553985254183857e-03,9.308054053986755672e-02,1.100259555177283133e+00
2.250000000000000000e+00,4.674113584855327796e-01,3.037928723141473109e-01,2.294898108087882194e-01,2.864498833667979312e-03,9.670101473514651491e-02,1.100259555177282911e+00
2.375000000000000000e+00,4.726283667472884198e-01,3.043948243079862559e-01,2.201808100804347190e-01,2.882780456350745972e-03,1.001727735852227796e-01,1.100259555177282911e+00
2.500000000000000000e+00,4.775360831512077686e-01,3.050118449947058497e-01,2.113064380346971749e-01,2.902390316191019899e-03,1.035027986804810812e-01,1.100259555177282911e+00
2.625000000000000000e+00,4.821498938157052772e-01,3.056427415493644384e-01,2.028458665252176885e-01,2.923315568587893029e-03,1.066977377184076536e-01,1.100259555177282911e+00
2.750000000000000000e+00,4.864844340619537411e-01,3.062863858893802860e-01,1.947792751351982710e-01,2.945539500645160368e-03,1.097639205901054377e-01,1.100259555177282911e+00
2.875000000000000000e+00,4.905536254566269516e-01,3.069417113184288448e-01,1.870878016815545886e-01,2.969041944713629328e-03,1.127073747759586991e-01,1.100259555177282689e+00
3.000000000000000000e+00,4.943707108376036441e-01,3.076077093592939349e-01,1.797534953995892359e-01,2.993799657298943252e-03,1.155338399234971530e-01,1.100259555177282911e+00
3.125000000000000000e+00,4.979482874695953520e-01,3.082834267614552592e-01,1.727592726148248770e-01,3.019786666989210389e-03,1.182487816644181428e-01,1.100259555177282911e+00
3.250000000000000000e+00,5.012983384661211517e-01,3.089679626702492854e-01,1.660888747209200988e-01,3.046974594331488574e-03,1.208574047256608941e-01,1.100259555177282911e+00
3.375000000000000000e+00,5.044322627322452846e-01,3.096604659323564657e-01,1.597268281249668298e-01,3.075332949719483677e-03,1.233646654379948471e-01,1.100259555177283133e+00
3.500000000000000000e+00,5.073609036825008634e-01,3.103601325123722665e-01,1.536584058214710558e-01,3.104829415354710617e-03,1.257752837455839434e-01,1.100259555177282911e+00
3.625000000000000000e+00,5.100945768496945032e-01,3.110662030093646613e-01,1.478695904418015628e-01,3.135430113768441530e-03,1.280937547626536943e-01,1.100259555177282911e+00
3.750000000000000000e+00,5.126430948825652090e-01,3.117779604272752358e-01,1.423470407884510625e-01,3.167099823597308884e-03,1.303243592553939845e-01,1.100259555177282689e+00
3.875000000000000000e+00,5.150157922049776182e-01,3.124947279677202649e-01,1.370780588162520131e-01,3.199802201012267450e-03,1.324711739873208061e-01,1.100259555177282911e+00
4.000000000000000000e+00,5.172215484890108073e-01,3.132158669323201750e-01,1.320505581948087370e-01,3.233499984330175017e-03,1.345380815768128513e-01,1.100259555177282689e+00
4.125000000000000000e+00,5.192688108509084799e-01,3.139407747444193375e-01,1.272530345744164182e-01,3.268155178850106184e-03,1.365287798286885235e-01,1.100259555177282911e+00
4.250000000000000000e+00,5.211656148740336780e-01,3.146688830798534120e-01,1.226745374176003156e-01,3.303729224626484121e-03,1.384467905811691268e-01,1.100259555177282911e+00
4.375000000000000000e+00,5.229196045165738216e-01,3.153996561013462374e-01,1.183046433194271385e-01,3.340183148159796105e-03,1.402954680917758434e-01,1.100259555177282689e+00
4.500000000000000000e+00,5.245380510678656627e-01,3.161325887803025925e-01,1.141334305977642904e-01,3.377477701688511372e-03,1.420780070296617514e-01,1.100259555177282689e+00
4.625000000000000000e+00,5.260278713172144016e-01,3.168672052897600344e-01,1.101514549346621491e-01,3.415573493765730866e-03,1.437974501418804174e-01,1.100259555177282911e+00
4.750000000000000000e+00,5.273956450990797684e-01,3.176030574522702432e-01,1.063497258500358533e-01,3.454431114804147954e-03,1.454566956610927053e-01,1.100259555177282689e+00
4.875000000000000000e+00,5.286476317515486079e-01,3.183397232899504159e-01,1.027196846282118770e-01,3.494011246006350699e-03,1.470585042615656091e-01,1.100259555177282911e+00
5.000000000000000000e+00,5.297897848972494828e-01,3.190768057368453259e-01,9.925318448854944520e-02,3.534274736918932569e-03,1.486055053177195162e-01,1.100259555177282689e+00
5.125000000000000000e+00,5.308277678609756300e-01,3.198139312793455424e-01,9.594246990227914273e-02,3.575182708055443803e-03,1.501002034266271656e-01,1.100259555177282911e+00
5.250000000000000000e+00,5.317669676767791120e-01,3.205507487325897076e-01,9.278015779643922212e-02,3.616696627866173522e-03,1.515449843436085242e-01,1.100259555177282689e+00
5.375000000000000000e+00,5.326125085462950492e-01,3.212869280656518445e-01,8.975921949173257253e-02,3.658778385128257093e-03,1.529421206884750417e-01,1.100259555177282911e+00
