time,qp_energy,qp_force
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,1.249999999999999809e-03,1.092860214093202120e-03
5.000000000000000278e-02,2.499999999999999618e-03,2.158506493850088567e-03
7.500000000000001110e-02,3.749999999999999861e-03,3.210609188772995184e-03
1.000000000000000056e-01,4.999999999999999237e-03,4.252843765106741059e-03
1.250000000000000000e-01,6.250000000000000347e-03,5.287117281033044958e-03
1.500000000000000222e-01,7.500000000000000590e-03,6.314625831934452677e-03
1.750000000000000167e-01,8.750000000000002567e-03,7.336200037110619451e-03
2.000000000000000111e-01,1.000000000000000194e-02,8.352455242603083405e-03
2.250000000000000056e-01,1.125000000000000305e-02,9.363868274266004890e-03
2.500000000000000000e-01,1.250000000000000590e-02,1.037082107636979299e-02
2.750000000000000222e-01,1.375000000000000527e-02,1.137362749660968640e-02
3.000000000000000444e-01,1.500000000000000291e-02,1.237255069844859535e-02
3.250000000000000111e-01,1.625000000000000056e-02,1.336781500763540610e-02
3.500000000000000333e-01,1.750000000000000167e-02,1.435961427392300899e-02
3.750000000000000000e-01,1.875000000000000278e-02,1.534811795058562203e-02
4.000000000000000222e-01,2.000000000000000042e-02,1.633347562926838054e-02
4.250000000000000444e-01,2.124999999999999806e-02,1.731582049493050890e-02
4.500000000000000111e-01,2.249999999999999223e-02,1.829527200890285199e-02
4.750000000000000333e-01,2.374999999999999681e-02,1.927193802608176409e-02
5.000000000000000000e-01,2.500000000000000139e-02,2.024591649092367246e-02
5.250000000000000222e-01,2.625000000000000250e-02,2.121729680806057339e-02
5.500000000000000444e-01,2.750000000000000361e-02,2.218616097092646761e-02
5.750000000000000666e-01,2.875000000000000472e-02,2.315258449019334114e-02
6.000000000000000888e-01,3.000000000000000236e-02,2.411663717602396603e-02
6.250000000000000000e-01,3.124999999999999653e-02,2.507838379178302032e-02
6.500000000000000222e-01,3.249999999999999417e-02,2.603788461174625854e-02
