nu_THz,alpha2F,phdos_as_supplied,cumulative_modes
0.000000000000000000e+00,3.360543999999999789e-86,1.546209999999999982e-13,0.000000000000000000e+00
1.639000000000000049e-03,3.360543999999999789e-86,7.635160999999999624e-10,6.258281558594999841e-13
3.278339999999999813e-03,3.360543999999999789e-86,3.054087999999999928e-09,3.755003708506499812e-12
4.917669999999999854e-03,3.360543999999999789e-86,6.871717000000000208e-09,1.189083866383149854e-11
6.557010000000000269e-03,3.360543999999999789e-86,1.221640000000000012e-08,2.753679552522150366e-11
8.196339999999999876e-03,3.360543999999999789e-86,1.908814000000000022e-08,5.319603130432149627e-11
9.835679999999999423e-03,3.360543999999999789e-86,2.748694000000000062e-08,9.137222712792148142e-11
1.000500000000000000e-02,3.360543999999999789e-86,2.851215999999999887e-08,9.611311093392150149e-11
1.147500000000000082e-02,3.360543999999999789e-86,3.741278999999999815e-08,1.445679491839215121e-10
1.311430000000000061e-02,3.360543999999999789e-86,4.886569999999999929e-08,2.152861135124214960e-10
1.475369999999999980e-02,3.360543999999999789e-86,6.184567000000000404e-08,3.060362235014214371e-10
1.639300000000000132e-02,3.360543999999999789e-86,7.635268999999999600e-08,4.193105092754215470e-10
1.803240000000000051e-02,3.360543999999999789e-86,9.238677000000000480e-08,5.576262446374214971e-10
1.967170000000000030e-02,3.360543999999999789e-86,1.099478999999999942e-07,7.234698569029214099e-10
2.001001000000000168e-02,3.360543999999999789e-86,1.138872000000000035e-07,7.613326832434215480e-10
2.131100000000000008e-02,3.360543999999999789e-86,1.290361000000000102e-07,9.193530752769213361e-10
2.295039999999999927e-02,3.360543999999999789e-86,1.496512999999999975e-07,1.147793137056921316e-09
2.458969999999999906e-02,3.360543999999999789e-86,1.717935999999999879e-07,1.411265449341921187e-09
2.622899999999999884e-02,3.360543999999999789e-86,1.954630000000000080e-07,1.712287321531921064e-09
2.786840000000000150e-02,3.360543999999999789e-86,2.206594000000000125e-07,2.053382852811921781e-09
2.950770000000000129e-02,3.360543999999999789e-86,2.473829000000000201e-07,2.437013724006921690e-09
3.001501000000000169e-02,3.360543999999999789e-86,2.561254999999999862e-07,2.564731147208921850e-09
3.114700000000000107e-02,3.360543999999999789e-86,2.756333999999999858e-07,2.865704025814421538e-09
3.278640000000000027e-02,3.360543999999999789e-86,3.054110000000000075e-07,3.341986120494421196e-09
3.442569999999999658e-02,3.360543999999999789e-86,3.367155999999999873e-07,3.868305188184419754e-09
3.606499999999999984e-02,3.360543999999999789e-86,3.695473000000000231e-07,4.447193574169420633e-09
3.770439999999999903e-02,3.360543999999999789e-86,4.039061000000000092e-07,5.081193326149420537e-09
3.934370000000000228e-02,3.360543999999999789e-86,4.397919000000000062e-07,5.772730391849422056e-09
4.002001000000000169e-02,3.360543999999999789e-86,4.552270000000000039e-07,6.075385507978921591e-09
4.098299999999999860e-02,3.360543999999999789e-86,4.772048000000000063e-07,6.524346757519920366e-09
4.262239999999999779e-02,3.360543999999999789e-86,5.161446999999999644e-07,7.338595342669919602e-09
4.426170000000000104e-02,3.360543999999999789e-86,5.566116999999999787e-07,8.217880125929921198e-09
4.590099999999999736e-02,3.360543999999999789e-86,5.986057000000000038e-07,9.164754067839918283e-09
4.754039999999999655e-02,3.360543999999999789e-86,6.421267999999999792e-07,1.018178249808991748e-08
4.917969999999999980e-02,3.360543999999999789e-86,6.871748999999999655e-07,1.127134463649492025e-08
5.002501000000000170e-02,3.360543999999999789e-86,7.111901999999999887e-07,1.186237063783542117e-08
5.081909999999999900e-02,3.360543999999999789e-86,7.337501000000000079e-07,1.243607695924891838e-08
5.245840000000000225e-02,3.360543999999999789e-86,7.818524000000000005e-07,1.367834054837392040e-08
5.409769999999999857e-02,3.360543999999999789e-86,8.314817000000000041e-07,1.500070984343891665e-08
5.573709999999999776e-02,3.360543999999999789e-86,8.826380999999999578e-07,1.640577384349891593e-08
5.737640000000000101e-02,3.360543999999999789e-86,9.353215000000000284e-07,1.789586442963892031e-08
5.901569999999999733e-02,3.360543999999999789e-86,9.895320000000000492e-07,1.947357060091391710e-08
6.003002000000000338e-02,3.360543999999999789e-86,1.024016999999999898e-06,2.049476211175392332e-08
6.065510000000000346e-02,3.360543999999999789e-86,1.045269999999999989e-06,2.114149707073392491e-08
6.229439999999999977e-02,3.360543999999999789e-86,1.102533999999999912e-06,2.290194461933392183e-08
6.393369999999999609e-02,3.360543999999999789e-86,1.161326000000000085e-06,2.475751746833391724e-08
6.557309999999999528e-02,3.360543999999999789e-86,1.221644000000000030e-06,2.671083797733391589e-08
6.721240000000000547e-02,3.360543999999999789e-86,1.283490000000000014e-06,2.876417106043392831e-08
6.885170000000000179e-02,3.360543999999999789e-86,1.346863000000000008e-06,3.092013989688392281e-08
7.003502000000000338e-02,3.360543999999999789e-86,1.393707999999999896e-06,3.254162613474392442e-08
7.049110000000000098e-02,3.360543999999999789e-86,1.411763000000000014e-06,3.318138574158392118e-08
7.213039999999999730e-02,3.360543999999999789e-86,1.478190000000000030e-06,3.555013571803391637e-08
7.376969999999999361e-02,3.360543999999999789e-86,1.546144000000000057e-06,3.802903108113391365e-08
7.540910000000000668e-02,3.360543999999999789e-86,1.615625000000000096e-06,4.062073313043393634e-08
7.704840000000000300e-02,3.360543999999999789e-86,1.686632999999999933e-06,4.332742890013393132e-08
7.868769999999999931e-02,3.360543999999999789e-86,1.759167999999999993e-06,4.615177968978392192e-08
8.004002000000000339e-02,3.360543999999999789e-86,1.820260999999999944e-06,4.857204640242393169e-08
8.032709999999999850e-02,3.360543999999999789e-86,1.833230000000000065e-06,4.909646850056392259e-08
8.196639999999999482e-02,3.360543999999999789e-86,1.908819999999999963e-06,5.216363978306391778e-08
8.360579999999999401e-02,3.360543999999999789e-86,1.985936000000000056e-06,5.535617127626391949e-08
8.524510000000000420e-02,3.360543999999999789e-86,2.064579000000000160e-06,5.867617589601393933e-08
8.688440000000000052e-02,3.360543999999999789e-86,2.144750000000000091e-06,6.212635241086393514e-08
8.852379999999999971e-02,3.360543999999999789e-86,2.226446999999999793e-06,6.570942259176393008e-08
9.004502000000000339e-02,3.360543999999999789e-86,2.303677000000000068e-06,6.915508020740394339e-08
9.016309999999999603e-02,3.360543999999999789e-86,2.309672000000000169e-06,6.942745233236392503e-08
9.180240000000000622e-02,3.360543999999999789e-86,2.394422999999999894e-06,7.328316379911395499e-08
9.344180000000000541e-02,3.360543999999999789e-86,2.480701999999999869e-06,7.727930376161395003e-08
9.508110000000000173e-02,3.360543999999999789e-86,2.568507999999999854e-06,8.141788873811394563e-08
9.672039999999999804e-02,3.360543999999999789e-86,2.657840999999999851e-06,8.570166569596393072e-08
9.835979999999999723e-02,3.360543999999999789e-86,2.748700000000000043e-06,9.013340735366392752e-08
