k_ell0,H_spatial_Usadel,H_local_K0,tau_spatial_with_same_KWT_ps,tau_local_with_same_KWT_ps
0.0,1.9999990835595227,1.9999990835595227,4.942206038916744,4.942206038916744
0.03,2.0008003937675385,2.001412800253638,4.940226710963072,4.9387150653494265
0.06,2.0032022447497067,2.0056539503359843,4.934303350798636,4.928271672658189
0.09,2.007198416269634,2.0127225338065613,4.9244795474509875,4.910963822669557
0.12,2.012778603203805,2.0226185506653693,4.910827019356473,4.8869360687630445
0.15,2.0199285071981974,2.035342000912408,4.89344425477033,4.856386565090693
0.18,2.0286299625321322,2.0508928845476775,4.87245467687864,4.81956304157534
0.21,2.0388610938315685,2.0692712015711776,4.848004397406184,4.77675789480407
0.24,2.0505965027342485,2.0904769519829087,4.820259634411761,4.728302571917875
0.27,2.063807480160416,2.114510135782871,4.789403877840161,4.674561441596613
0.3,2.0784622404959254,2.1413707529710635,4.755634890070164,4.6159253528991275
0.32999999999999996,2.094526173755563,2.1710588035474867,4.719161628270664,4.5528050794593
0.36,2.111962111664677,2.2035742875121413,4.680201171224991,4.485624834439064
0.39,2.1307306035737597,2.2389172048650265,4.638975725986778,4.414816022279712
0.42,2.1507901981965714,2.2770875556061423,4.595709780007303,4.3408113685662295
0.44999999999999996,2.1720977273275164,2.318085339735489,4.550627453009357,4.2640395412378185
0.48,2.194608587935676,2.3619105572530668,4.503950090659875,4.184920346895575
0.51,2.2182770193369383,2.4085632081588755,4.455894129737845,4.103860556830288
0.54,2.2430563724969654,2.4580432924529148,4.4066692526289595,4.021250390074311
0.57,2.2688993689012413,2.5103508101351846,4.3564768380990575,3.937460656370789
0.6,2.295758346829729,2.5654857612056854,4.30550870575967,3.8528405411809863
0.63,2.323585493279398,2.623448145664417,4.253946143658112,3.767715998096273
0.6599999999999999,2.3523330601765142,2.6842379635113796,4.2019592020928025,3.6823887013599808
0.69,2.3819535639020586,2.747855214746573,4.149706232057451,3.5971355024640332
0.72,2.412399967510257,2.8142998993699972,4.097333643557098,3.5122083296128204
0.75,2.4436258453458923,2.883572017381652,4.044975857258009,3.4278344667705194
0.78,2.4755855300568497,2.955671568781538,3.9927554223379387,3.344217149495615
0.8099999999999999,2.5082342422518673,3.0305985535696545,3.940783273782957,3.2615364172708623
0.84,2.5415282032689563,3.108352971746002,3.8891591035198174,3.179950166033952
0.87,2.575424731697844,3.18893482331058,3.837971821478762,3.0995953496266093
0.8999999999999999,2.6098823244416387,3.272344108263389,3.7873000847693428,3.0205892844934987
0.9299999999999999,2.6448607232109986,3.3585808266044284,3.737212875465004,2.94303101783294
0.96,2.6803209674212645,3.4476449783336993,3.687770109900536,2.867002725255405
0.99,2.7162254345125327,3.539536563451201,3.6390232647864633,2.7925711096364836
1.02,2.752537868737877,3.634255581956933,3.5910160077572817,2.7197887781115777
1.05,2.7892233994693556,3.7318020338508964,3.5437848221394948,2.6486955789549147
1.08,2.826248550058372,3.8321759191330904,3.4973596177136224,2.5793198843626843
1.1099999999999999,2.863581238259614,3.9353772378035146,3.4517643210301334,2.511679808900022
1.14,2.9011907691891374,4.04140598986217,3.4070174404141134,2.4457843565805497
1.17,2.9390478217397913,4.150262175309056,3.363132602158436,2.3816344922498227
1.2,2.9771244293236276,4.261945794144173,3.320119055568485,2.3192241351771297
1.23,3.015393955753082,4.376456846367521,3.2779821454962215,2.2585410745681016
1.26,3.0538310670125,4.493795331979101,3.236723751803841,2.1995678081410666
1.29,3.0924116996104263,4.61396125097891,3.1963426958451358,2.1422823060117215
1.3199999999999998,3.1311130261421756,4.73695460336695,3.156835114564466,2.0866587029502353
1.3499999999999999,3.1699134186326385,4.862775389143222,3.11819480320681,2.0326679226566893
1.38,3.208792410171663,4.9914236083077235,3.080413527924991,1.980278238085067
1.41,3.247730655299474,5.122899260860456,3.043481309777637,1.9294557720691183
1.44,3.2867098895476166,5.257202346801421,3.0073866817482693,1.880164942597213
1.47,3.3257128884923413,5.394332866130615,2.972116920494831,1.832368857075364
1.5,3.364723426632172,5.53429081884804,2.937658254571418,1.7860296598315122
1.53,3.4037262363597764,5.677076204953696,2.9039960508595493,1.741108836969795
1.56,3.4427069672601394,5.822689024447583,2.8711149809134877,1.6975674824972458
1.5899999999999999,3.481652145932344,5.9711292773297,2.8389991688698424,1.6553665294307867
1.6199999999999999,3.5205491365008923,6.122396963600049,2.807632322501834,1.61446694936025
1.65,3.5593861019542987,6.276492083258629,2.776997848918032,1.5748299237022283
1.68,3.5981519664234316,6.4334146363054385,2.7470789563179405,1.5364169896365043
1.71,3.6368363784896864,6.593164622740479,2.717858743125707,1.4991901634768112
1.74,3.6754296755931843,6.755742042563751,2.6893202757309087,1.4631120439946184
1.77,3.7139228495937844,6.921146895775254,2.6614466559737364,1.4281458979911812
1.7999999999999998,3.752307513522415,7.089379182374986,2.634221079422408,1.3942557302012568
1.8299999999999998,3.7905758695469842,7.260438902362951,2.6076268854043865,1.361406339412744
1.8599999999999999,3.828720678165663,7.434326055739146,2.581647599670666,1.329563362500797
1.89,3.86673522863055,7.611040642503572,2.556266970494514,1.2986933079028278
1.92,3.904613310596334,7.790582662656229,2.531468998933015,1.2687635799022123
1.95,3.942349186981561,7.972952116197117,2.5072379639115057,1.239742494943068
1.98,3.979937568024201,8.158149003126235,2.4835584427277433,1.2115992910656672
2.01,4.017373586508403,8.346173323443583,2.460415327514165,1.1843041314312865
2.04,4.054652774135314,8.537025077149163,2.4377938381428366,1.157828102795805
2.07,4.091771039007777,8.730704264242974,2.415679532008399,1.132143209692476
2.1,4.128724644196196,8.927210884725017,2.3940583110793,1.1072223649951667
2.13,4.165510187351073,9.126544938595288,2.3729164265665883,1.0830393774533023
2.16,4.202124581326344,9.328706425853794,2.3522404815223132,1.0595689367179517
2.19,4.238565035776834,9.533695346500526,2.3320174316457636,1.0367865963143068
2.2199999999999998,4.274829039692614,9.74151170053549,2.312234584545298,1.0146687549584814
2.25,4.310914344832898,9.952155487958686,2.2928795976759244,0.9931926365655331
2.28,4.346818950022267,10.165626708770112,2.273940475147968,0.9723362692502103
2.31,4.382541086272346,10.38192536296977,2.2554055635798265,0.9520784635816696
2.34,4.418079202692544,10.601051450557657,2.237263547147796,0.9323987903177159
2.37,4.453431953154281,10.823004971533779,2.219503441967916,0.9132775578125841
2.4,4.488598183673858,11.047785925898127,2.202114589928736,0.8946957892644246
2.4299999999999997,4.523576920480086,11.275394313650706,2.185086652079478,0.8766351999441064
2.46,4.558367358733808,11.505830134791518,2.168409601665244,0.859078174525382
2.4899999999999998,4.59296885186748,11.739093389320558,2.1520737168894306,0.8420077446174846
2.52,4.627380901514137,11.975184077237833,2.1360695734733066,0.825407566584625
2.55,4.661603147996099,12.214102198543335,2.1203880370736563,0.8092618997223268
2.58,4.695635361345051,12.455847753237073,2.1050202556112594,0.7935555848478503
2.61,4.729477432826154,12.700420741319038,2.089957651555869,0.7782740233509189
2.6399999999999997,4.763129366940067,12.947821162789232,2.075191914206978,0.7634031567413554
2.67,4.796591273877876,13.19804901764766,2.060714992004026,0.748929446721934
2.6999999999999997,4.829863362405,13.451104305894317,2.046519084894764,0.7348398558075598
2.73,4.862945933151298,13.706987027529207,2.0325966367860704,0.721121828505704
2.76,4.895839372285626,13.965697182552324,2.018940328097669,0.707763273067717
2.79,4.928544145554131,14.227234770963678,2.005543068435779,0.6947525438160961
2.82,4.961060792662582,14.491599792763257,1.992397989400752,0.6820784240489344
2.85,4.993389921984021,14.758792247951071,1.979498437540095,0.6697301095195006
2.88,5.025532205573917,15.028812136527113,1.9668379674560306,0.657697192486161
2.9099999999999997,5.05748837447594,15.301659458491384,1.954410335074681,0.6459696463255592
2.94,5.089259214302325,15.577334213843889,1.942209491082261,0.634537810700072
2.9699999999999998,5.120845561073623,15.855836402584623,1.9302295745321183,0.6233923772690158
3.0,5.152248297303425,16.137166024713594,1.9184649066251545,0.6125243759318177
