delta_over_Delta0,q_ell0,gap_over_kBTc,current_uA
0.0,0.0,1.763876942523398,0.0
0.0,0.015000000000000001,1.7637002187567965,1.3079483744767013
0.0,0.030000000000000002,1.7631699411485042,2.6146852766945723
0.0,0.045000000000000005,1.7622857903456908,3.9189984447970065
0.0,0.060000000000000005,1.7610472326649085,5.219674033266219
0.0,0.07500000000000001,1.7594535179345487,6.515495809872167
0.0,0.09000000000000001,1.7575036764451686,7.8052443389978015
0.0,0.10500000000000001,1.7551965149778759,9.087696146529883
0.0,0.12000000000000001,1.75253061187156,10.361622861265552
0.0,0.135,1.749504311079595,11.62579032747473
0.0,0.15000000000000002,1.7461157151554778,12.878957682869892
0.0,0.165,1.7423626770895317,14.119876395716249
0.0,0.18000000000000002,1.7382427909395928,15.34728925451368
0.0,0.195,1.7337533810790533,16.55992930215686
0.0,0.21000000000000002,1.7288914900458932,17.756518707049896
0.0,0.225,1.723653864765214,18.935767561142622
0.0,0.24000000000000002,1.7180369410250138,20.096372594691466
0.0,0.255,1.7120368259900054,21.237015795517607
0.0,0.27,1.7056492785656272,22.356362919458977
0.0,0.28500000000000003,1.6988696872717173,23.453061875219795
0.0,0.30000000000000004,1.691693045405556,24.525740966271332
0.0,0.315,1.6841139230504418,25.5730069672371
0.0,0.33,1.676126435515319,26.59344300944389
0.0,0.34500000000000003,1.6677242076940084,27.58560624538126
0.0,0.36000000000000004,1.6589003336622286,28.548025254602305
0.0,0.37500000000000006,1.6496473307900343,29.479197147220766
0.0,0.39,1.639957087393823,30.37758430979731
0.0,0.405,1.6298208027941168,31.241610726429077
0.0,0.42000000000000004,1.619228918312525,32.06965779003311
0.0,0.43500000000000005,1.6081710374316962,32.86005949767267
0.0,0.45,1.5966358328509043,33.611096894331034
0.0,0.465,1.5846109374993442,34.32099158967832
0.0,0.48000000000000004,1.572082815831883,34.98789812234017
0.0,0.49500000000000005,1.5590366105432765,35.60989487456616
0.0,0.51,1.5454559583735783,36.184973146137686
0.0,0.525,1.5313227666622207,36.711023867988345
0.0,0.54,1.516616939499076,37.18582125936034
0.0,0.555,1.5013160385521853,37.607002492575056
0.0,0.5700000000000001,1.4853948583607686,37.972042098190705
0.0,0.5850000000000001,1.4688248885782575,38.278219388369706
0.0,0.6000000000000001,1.4515736254064315,38.52257654772188
0.0,0.6150000000000001,1.4336036800923837,38.701864173153425
0.0,0.63,1.414871611978056,38.81246984185293
0.0,0.645,1.3953263846119277,38.85032362181507
0.0,0.66,1.3749073018099698,38.81077212924039
0.0,0.675,1.3535412203356192,38.688409531177165
0.0,0.6900000000000001,1.3311387478763137,38.476849440846216
0.0,0.7050000000000001,1.3075890049600818,38.16841547777322
0.0,0.7200000000000001,1.2827523347827159,37.75371971764688
0.0,0.7350000000000001,1.2564500489757793,37.221086489694294
0.0,0.7500000000000001,1.2284498393941317,36.55576295589428
0.0,0.765,1.1984447622575467,35.73883653938483
0.0,0.78,1.166022527513532,34.74575188594444
0.0,0.795,1.1306198620237713,33.54428763531579
0.0,0.81,1.0914532852573011,32.09182134444512
0.0,0.8250000000000001,1.0474112933550153,30.331695507311743
0.0,0.8400000000000001,0.996880238983569,28.188536358119585
0.0,0.8550000000000001,0.9374477730024745,25.562545220058826
0.0,0.8700000000000001,0.8653542132309519,22.32320278266254
0.0,0.8850000000000001,0.7743329104959618,18.303634922641457
