delta_over_Delta0,r_over_ell0,a_over_kBTc,q_delta_ell0,force_dimensionless,energy_excess_density,current_moment_dimensionless
0.05,1e-05,1.763876942464599e-05,0.003999999629566091,-5.9336864566913115e-06,6.407174874601399,4.887158714200092e-05
0.05,1.0097631247682853e-05,1.7810978931286172e-05,0.004039052121847254,-5.991390907710138e-06,6.4071748745748005,4.934872654482786e-05
0.05,1.019621568141812e-05,1.798486974082563e-05,0.004078485888389158,-6.049652025231547e-06,6.407174874547678,4.9830524319174594e-05
0.05,1.0295762607280153e-05,1.816045826803432e-05,0.004118304651617197,-6.108475045661184e-06,6.407174874520026,5.031702594530337e-05
0.05,1.0396281422199655e-05,1.833776108794163e-05,0.004158512170299189,-6.167865250662395e-06,6.407174874491831,5.0808277347505895e-05
0.05,1.0497781614850797e-05,1.8516794937401126e-05,0.0041991122399002104,-6.227827967424534e-06,6.407174874463083,5.130432489843876e-05
0.05,1.0600272766546798e-05,1.869757671667025e-05,0.0042401086929408135,-6.288368568928809e-06,6.407174874433769,5.1805215423500215e-05
0.05,1.0703764552144453e-05,1.8880123491005815e-05,0.004281505399358861,-6.349492474211807e-06,6.40717487440388,5.23109962052509e-05
0.05,1.080826674095739e-05,1.9064452492274856e-05,0.0043233062668748,-6.411205148625606e-06,6.407174874373407,5.282171498787696e-05
0.05,1.0913789197678266e-05,1.9250581120581276e-05,0.004365515241360546,-6.473512104095323e-06,6.407174874342333,5.3337419981696936e-05
0.05,1.1020341883309965e-05,1.943852694590837e-05,0.00440813630721196,-6.53641889937319e-06,6.407174874310654,5.385815986771282e-05
0.05,1.1127934856105858e-05,1.9628307709777315e-05,0.0044511734877249395,-6.599931140289094e-06,6.407174874278347,5.438398380220508e-05
0.05,1.1236578272519373e-05,1.981994132692212e-05,0.004494630845475259,-6.664054479997778e-06,6.407174874245409,5.491494142137352e-05
0.05,1.1346282388162583e-05,2.0013445886980427e-05,0.004538512482701979,-6.7287946192218726e-06,6.407174874211828,5.5451082846021935e-05
